STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,288726,0,288726,1264412.2,0,1264412.2,0.26,0.08,0,0,0,0,33780016
2,13/04/2023,155627,0,155627,687319.6,0,687319.6,0.18,0.05,0,0,0,0,33780016
3,12/04/2023,193700,0,193700,854003.4,0,854003.4,0.2,0.06,0,0,0,0,33780016
4,11/04/2023,240470,0,240470,1046258,0,1046258,0.21,0.06,0,0,0,0,33780016
5,10/04/2023,486876,0,486876,2182573.5,0,2182573.5,0.3,0.1,0,0,0,0,33776716
6,07/04/2023,397496,0,397496,1798500.9,0,1798500.9,0.36,0.12,0,0,0,0,33776716
7,06/04/2023,975748,0,975748,4538833.6,0,4538833.6,0.64,0.21,0,0,0,0,33776716
8,05/04/2023,638717,0,638717,2744929,0,2744929,0.52,0.17,0,0,3300,13860,33775016
9,04/04/2023,261157,0,261157,1093776.7,0,1093776.7,0.27,0.08,0,0,0,0,33775016
10,03/04/2023,919131,0,919131,3806560.6,0,3806560.6,0.89,0.24,0,0,0,0,33775016
11,31/03/2023,189341,0,189341,720941.9,0,720941.9,0.23,0.06,0,0,1700,6630,33775016
12,30/03/2023,117705,0,117705,459047.9,0,459047.9,0.16,0.04,0,0,0,0,33775016
13,29/03/2023,78095,0,78095,298621,0,298621,0.13,0.04,0,0,0,0,33775016
14,28/03/2023,205497,0,205497,802088.6,0,802088.6,0.26,0.07,0,0,0,0,33775016
15,27/03/2023,65234,0,65234,248452.8,0,248452.8,0.1,0.03,0,0,0,0,33775016
16,24/03/2023,118144,0,118144,449922.3,0,449922.3,0.18,0.05,0,0,0,0,33775016
17,23/03/2023,73071,0,73071,276529.1,0,276529.1,0.14,0.04,0,0,0,0,33775016
18,22/03/2023,75359,0,75359,287532.1,0,287532.1,0.15,0.03,0,0,0,0,33775016
19,21/03/2023,58141,0,58141,221461.5,0,221461.5,0.13,0.03,0,0,0,0,33775016
20,20/03/2023,143378,0,143378,545662,0,545662,0.25,0.06,0,0,0,0,33775016
21,17/03/2023,59669,0,59669,233904.7,0,233904.7,0.12,0.03,0,0,0,0,33775016
22,16/03/2023,57926,0,57926,225900.7,0,225900.7,0.11,0.03,0,0,0,0,33775016
23,15/03/2023,111744,0,111744,438392,0,438392,0.14,0.04,0,0,0,0,33775016
24,14/03/2023,203217,0,203217,796177.2,0,796177.2,0.26,0.07,0,0,0,0,33775016
25,13/03/2023,165099,0,165099,643909.2,0,643909.2,0.3,0.08,0,0,0,0,33775016
26,10/03/2023,50612,0,50612,197697.9,0,197697.9,0.08,0.02,0,0,0,0,33775016
27,09/03/2023,195579,0,195579,780333,0,780333,0.34,0.09,0,0,0,0,33775016
28,08/03/2023,246980,0,246980,961021.1,0,961021.1,0.24,0.07,0,0,0,0,33775016
29,07/03/2023,80973,0,80973,323244.3,0,323244.3,0.18,0.05,0,0,0,0,33775016
30,06/03/2023,237782,0,237782,965398.7,0,965398.7,0.43,0.12,0,0,0,0,33775016
31,03/03/2023,171075,0,171075,668563.3,0,668563.3,0.25,0.06,0,0,0,0,33775016
32,02/03/2023,184001,0,184001,715443.9,0,715443.9,0.46,0.12,0,0,0,0,33775016
33,01/03/2023,162131,0,162131,629675.9,0,629675.9,0.27,0.07,0,0,0,0,33775016
34,28/02/2023,393856,0,393856,1565626.4,0,1565626.4,0.73,0.21,0,0,0,0,33775016
35,27/02/2023,328172,0,328172,1314189.1,0,1314189.1,0.47,0.13,0,0,0,0,33775016
36,24/02/2023,266492,0,266492,1112620.5,0,1112620.5,0.47,0.15,0,0,0,0,33766816
37,23/02/2023,316457,0,316457,1329478.2,0,1329478.2,0.39,0.1,0,0,0,0,33771816
38,22/02/2023,370239,0,370239,1617653.4,0,1617653.4,0.33,0.09,5000,21500,0,0,33771816
39,21/02/2023,309595,0,309595,1404365.5,0,1404365.5,0.36,0.1,0,0,8200,37720,33771816
40,20/02/2023,617296,0,617296,2747817.1,0,2747817.1,0.67,0.19,0,0,0,0,33771816
41,17/02/2023,259142,0,259142,1122170.8,0,1122170.8,0.42,0.12,0,0,0,0,33771816
