STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,100,0,100,1500,0,1500,0,0,0,0,0,0,0
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11/04/2023,12,0,12,186,0,186,0,0,0,0,0,0,0
5,10/04/2023,2,0,2,31.6,0,31.6,0,0,0,0,0,0,0
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
9,04/04/2023,1100,0,1100,16410,0,16410,0,0,0,0,0,0,0
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
11,31/03/2023,1000,0,1000,15000,0,15000,0,0,0,0,0,0,0
12,30/03/2023,10,0,10,150,0,150,0,0,0,0,0,0,0
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28/03/2023,700,0,700,10220,0,10220,0,0,0,0,0,0,0
15,27/03/2023,100,0,100,1560,0,1560,0,0,0,0,0,0,0
16,24/03/2023,600,0,600,9360,0,9360,0,0,0,0,0,0,0
17,23/03/2023,100,0,100,1580,0,1580,0,0,0,0,0,0,0
18,22/03/2023,707,0,707,11190.6,0,11190.6,0,0,0,0,0,0,0
19,21/03/2023,1000,0,1000,16500,0,16500,0,0,0,0,0,0,0
20,20/03/2023,1156,0,1156,19096.9,0,19096.9,0,0,0,0,0,0,0
21,17/03/2023,100,0,100,1680,0,1680,0,0,0,0,0,0,0
22,16/03/2023,10,0,10,170.5,0,170.5,0,0,0,0,0,0,0
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13/03/2023,758,0,758,12759.3,0,12759.3,0,0,0,0,0,0,0
26,10/03/2023,200,0,200,3400,0,3400,0,0,0,0,0,0,0
27,09/03/2023,513,0,513,8659.3,0,8659.3,0,0,0,0,0,0,0
28,08/03/2023,2240,0,2240,38100,0,38100,0,0,0,0,0,0,0
29,07/03/2023,300,0,300,4830,0,4830,0,0,0,0,0,0,0
30,06/03/2023,306,0,306,5101.4,0,5101.4,0,0,0,0,0,0,0
31,03/03/2023,100,0,100,1630,0,1630,0,0,0,0,0,0,0
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
33,01/03/2023,1190,0,1190,19961,0,19961,0,0,0,0,0,0,0
34,28/02/2023,904,0,904,15368,0,15368,0,0,0,0,0,0,0
35,27/02/2023,1400,0,1400,23610,0,23610,0,0,0,0,0,0,0
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
38,22/02/2023,100,0,100,1650,0,1650,0,0,0,0,0,0,0
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20/02/2023,2500,0,2500,41700,0,41700,0,0,0,0,0,0,0
41,17/02/2023,300,0,300,5320,0,5320,0,0,0,0,0,0,0
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
43,15/02/2023,1100,0,1100,17610,0,17610,0,0,0,0,0,0,0
44,14/02/2023,1215,0,1215,19603.5,0,19603.5,0,0,0,0,0,0,0
45,13/02/2023,400,0,400,6490,0,6490,0,0,0,0,0,0,0
46,10/02/2023,300,0,300,5130,0,5130,0,0,0,0,0,0,0
47,09/02/2023,1000,0,1000,16650,0,16650,0,0,0,0,0,0,0
48,08/02/2023,200,0,200,3370,0,3370,0,0,0,0,0,0,0
49,07/02/2023,4080,0,4080,66864,0,66864,0.01,0.01,0,0,0,0,0
50,06/02/2023,101,0,101,1577,0,1577,0,0,0,0,0,0,0
51,03/02/2023,700,0,700,10900,0,10900,0,0,0,0,0,0,0
52,02/02/2023,110,0,110,1693,0,1693,0,0,0,0,0,0,0
53,01/02/2023,20900,0,20900,343940,0,343940,0.02,0.02,0,0,0,0,0
54,31/01/2023,11,0,11,196.3,0,196.3,0,0,0,0,0,0,0
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19/01/2023,100,0,100,1810,0,1810,0,0,0,0,0,0,0
58,18/01/2023,300,0,300,5020,0,5020,0,0,0,0,0,0,0
59,17/01/2023,100,0,100,1690,0,1690,0,0,0,0,0,0,0
60,16/01/2023,10,0,10,172,0,172,0,0,0,0,0,0,0
