STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,14100,0,14100,190350,0,190350,0.01,0.01,0,0,0,0,2827187
2,13/04/2023,2400,0,2400,32810,0,32810,0,0,0,0,0,0,2827187
3,12/04/2023,1200,0,1200,16550,0,16550,0,0,0,0,0,0,2827187
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
5,10/04/2023,1400,0,1400,19390,0,19390,0,0,0,0,0,0,2827187
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
10,03/04/2023,1,0,1,15,0,15,0,0,0,0,0,0,2827187
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
12,30/03/2023,400,0,400,5940,0,5940,0,0,0,0,0,0,2827187
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
14,28/03/2023,3100,0,3100,44220,0,44220,0,0,0,0,0,0,2827187
15,27/03/2023,100,0,100,1570,0,1570,0,0,0,0,0,0,2827187
16,24/03/2023,100,0,100,1440,0,1440,0,0,0,0,0,0,2827187
17,23/03/2023,200,0,200,2650,0,2650,0,0,0,0,0,0,2827187
18,22/03/2023,5,0,5,71,0,71,0,0,0,0,0,0,2827187
19,21/03/2023,1,0,1,14.2,0,14.2,0,0,0,0,0,0,2827187
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
29,07/03/2023,1200,0,1200,17300,0,17300,0,0,0,0,0,0,2827187
30,06/03/2023,2,0,2,31,0,31,0,0,0,0,0,0,2827187
31,03/03/2023,200,0,200,2940,0,2940,0,0,0,0,0,0,2827187
32,02/03/2023,3701,0,3701,53444.4,0,53444.4,0.01,0.01,0,0,0,0,2827187
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
34,28/02/2023,1700,0,1700,23480,0,23480,0,0,0,0,0,0,2827187
35,27/02/2023,600,0,600,8260,0,8260,0,0,0,0,0,0,2827187
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
38,22/02/2023,607,0,607,8466.6,0,8466.6,0,0,0,0,0,0,2827187
39,21/02/2023,2,0,2,27.6,0,27.6,0,0,0,0,0,0,2827187
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
42,16/02/2023,100,0,100,1530,0,1530,0,0,0,0,0,0,2827187
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
45,13/02/2023,2511,0,2511,35398.1,0,35398.1,0,0,0,0,0,0,2827187
46,10/02/2023,100,0,100,1420,0,1420,0,0,0,0,0,0,2827187
47,09/02/2023,7600,0,7600,110160,0,110160,0.02,0.01,0,0,0,0,2827187
48,08/02/2023,3800,0,3800,53580,0,53580,0.01,0.01,0,0,0,0,2827187
49,07/02/2023,600,0,600,8460,0,8460,0,0,0,0,0,0,2827187
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
54,31/01/2023,800,0,800,10930,0,10930,0,0,0,0,0,0,2827187
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
56,27/01/2023,2200,0,2200,31900,0,31900,0,0,0,0,0,0,2827187
57,19/01/2023,200,0,200,2820,0,2820,0,0,0,0,0,0,2827187
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2827187
59,17/01/2023,800,0,800,11280,0,11280,0,0,0,0,0,0,2827187
60,16/01/2023,1302,0,1302,18598,0,18598,0,0,0,0,0,0,2827187
