STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248400
2,13/04/2023,600,0,600,12900,0,12900,0,0,0,0,500,10750,1248400
3,12/04/2023,100,0,100,2260,0,2260,0,0,100,2260,100,2260,1248400
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
5,10/04/2023,400,0,400,8440,0,8440,0,0,100,2260,100,2260,1248500
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
7,06/04/2023,700,0,700,14430,0,14430,0,0,0,0,0,0,1248500
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
9,04/04/2023,300,0,300,6840,0,6840,0,0,0,0,0,0,1248500
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248400
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248400
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
18,22/03/2023,100,0,100,2530,0,2530,0,0,100,2530,100,2530,1248500
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248500
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
39,21/02/2023,300,0,300,6850,0,6850,0,0,200,4600,0,0,1248700
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
46,10/02/2023,10,0,10,247,0,247,0,0,0,0,0,0,1248700
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248700
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248800
53,01/02/2023,200,0,200,4500,0,4500,0,0,100,2250,0,0,1248800
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248800
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248800
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248800
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248800
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248800
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248800
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1248800
