STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,2100,0,2100,21930,0,21930,0,0,0,0,0,0,31138835
2,13/04/2023,6900,0,6900,71100,0,71100,0.01,0.01,0,0,0,0,31138835
3,12/04/2023,4700,0,4700,49270,0,49270,0,0,0,0,0,0,31138835
4,11/04/2023,3908,0,3908,41058.4,0,41058.4,0,0,0,0,0,0,31138835
5,10/04/2023,4600,0,4600,48900,0,48900,0,0,0,0,0,0,31138835
6,07/04/2023,2100,0,2100,22020,0,22020,0,0,0,0,0,0,31138835
7,06/04/2023,2900,0,2900,30490,0,30490,0,0,0,0,0,0,31138835
8,05/04/2023,4220,0,4220,44526,0,44526,0,0,0,0,0,0,31138835
9,04/04/2023,4000,0,4000,42650,0,42650,0,0,0,0,0,0,31138835
10,03/04/2023,3905,0,3905,41164,0,41164,0,0,0,0,0,0,31138835
11,31/03/2023,4000,0,4000,43200,0,43200,0,0,0,0,0,0,31138835
12,30/03/2023,1300,0,1300,13970,0,13970,0,0,0,0,0,0,31138835
13,29/03/2023,3705,0,3705,39994,0,39994,0.01,0,0,0,0,0,31138835
14,28/03/2023,3500,0,3500,37790,0,37790,0,0,0,0,0,0,31138835
15,27/03/2023,6704,0,6704,71652.8,0,71652.8,0.01,0.01,0,0,0,0,31138835
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,31138835
17,23/03/2023,3600,0,3600,38520,0,38520,0.01,0.01,0,0,0,0,31138835
18,22/03/2023,3500,0,3500,36770,0,36770,0.01,0,0,0,0,0,31138835
19,21/03/2023,3800,0,3800,40660,0,40660,0.01,0.01,0,0,0,0,31138835
20,20/03/2023,4800,0,4800,50850,0,50850,0.01,0.01,0,0,0,0,31138835
21,17/03/2023,9,0,9,89,0,89,0,0,0,0,0,0,31138835
22,16/03/2023,3600,0,3600,38510,0,38510,0.01,0,0,0,0,0,31138835
23,15/03/2023,4600,0,4600,49220,0,49220,0.01,0,0,0,0,0,31138835
24,14/03/2023,3532,0,3532,37770.1,0,37770.1,0,0,0,0,0,0,31138835
25,13/03/2023,5100,0,5100,54410,0,54410,0.01,0.01,0,0,0,0,31138835
26,10/03/2023,4200,0,4200,44940,0,44940,0.01,0,0,0,0,0,31138835
27,09/03/2023,3318,0,3318,35657.2,0,35657.2,0.01,0,0,0,0,0,31138835
28,08/03/2023,3200,0,3200,34420,0,34420,0,0,0,0,0,0,31138835
29,07/03/2023,6900,0,6900,72860,0,72860,0.02,0.01,0,0,0,0,31138835
30,06/03/2023,3000,0,3000,32100,0,32100,0.01,0,0,0,0,0,31138835
31,03/03/2023,3200,0,3200,34240,0,34240,0,0,0,0,0,0,31138835
32,02/03/2023,3500,0,3500,37450,0,37450,0.01,0.01,0,0,0,0,31138835
33,01/03/2023,2400,0,2400,25910,0,25910,0,0,0,0,0,0,31138835
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,31138835
35,27/02/2023,4300,0,4300,46320,0,46320,0.01,0,0,0,0,0,31138835
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,31138835
37,23/02/2023,4100,0,4100,41820,0,41820,0,0,0,0,0,0,31138835
38,22/02/2023,3200,0,3200,34240,0,34240,0,0,0,0,0,0,31138835
39,21/02/2023,6000,0,6000,63450,0,63450,0.01,0,0,0,0,0,31138835
40,20/02/2023,4430,0,4430,46377.1,0,46377.1,0,0,0,0,0,0,31138835
41,17/02/2023,3900,0,3900,41730,0,41730,0.01,0,0,0,0,0,31138835
42,16/02/2023,5000,0,5000,52800,0,52800,0.01,0,0,0,0,0,31138835
43,15/02/2023,4000,0,4000,42420,0,42420,0.01,0,0,0,0,0,31138835
44,14/02/2023,4100,0,4100,43470,0,43470,0.01,0.01,0,0,0,0,31138835
45,13/02/2023,4800,0,4800,51360,0,51360,0.01,0,0,0,0,0,31138835
46,10/02/2023,3502,0,3502,37130,0,37130,0.01,0,0,0,0,0,31138835
47,09/02/2023,4300,0,4300,45590,0,45590,0.01,0.01,0,0,0,0,31138835
48,08/02/2023,3800,0,3800,40660,0,40660,0.01,0,0,0,0,0,31138835
49,07/02/2023,4700,0,4700,50650,0,50650,0.01,0,0,0,0,0,31138835
50,06/02/2023,4300,0,4300,46010,0,46010,0.01,0.01,0,0,0,0,31138835
51,03/02/2023,4100,0,4100,43550,0,43550,0.01,0.01,0,0,0,0,31138835
52,02/02/2023,5520,0,5520,56886,0,56886,0.01,0,0,0,0,0,31138835
53,01/02/2023,5300,0,5300,56200,0,56200,0,0,0,0,0,0,31138835
54,31/01/2023,4708,0,4708,50850.5,0,50850.5,0.01,0,0,0,0,0,31138835
55,30/01/2023,5200,0,5200,55660,0,55660,0,0,0,0,0,0,31138835
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,31138835
57,19/01/2023,6500,0,6500,69350,0,69350,0.01,0.01,0,0,0,0,31138835
58,18/01/2023,3400,0,3400,36360,0,36360,0,0,0,0,0,0,31138835
59,17/01/2023,4200,0,4200,44110,0,44110,0.01,0,0,0,0,0,31138835
60,16/01/2023,3219,0,3219,34443.3,0,34443.3,0.01,0,0,0,0,0,31138835
