STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,4853926,0,4853926,21908271.9,0,21908271.9,4.34,1.38,0,0,0,0,0
2,13/04/2023,6126238,0,6126238,25803307.3,0,25803307.3,7,2.03,0,0,0,0,0
3,12/04/2023,1136650,0,1136650,4535698.3,0,4535698.3,1.18,0.34,0,0,0,0,0
4,11/04/2023,967761,0,967761,3774898.3,0,3774898.3,0.85,0.22,0,0,0,0,0
5,10/04/2023,2000091,0,2000091,7916217.4,0,7916217.4,1.24,0.35,0,0,0,0,0
6,07/04/2023,1729054,0,1729054,6792822.6,0,6792822.6,1.57,0.44,0,0,0,0,0
7,06/04/2023,3088014,0,3088014,12730295.4,0,12730295.4,2.03,0.59,0,0,0,0,0
8,05/04/2023,3541350,0,3541350,14096264.3,0,14096264.3,2.91,0.87,0,0,0,0,0
9,04/04/2023,1792578,0,1792578,6843257.8,0,6843257.8,1.88,0.51,0,0,0,0,0
10,03/04/2023,1131065,0,1131065,4249045.5,0,4249045.5,1.1,0.27,0,0,0,0,0
11,31/03/2023,1043134,0,1043134,3860816.9,0,3860816.9,1.25,0.32,0,0,0,0,0
12,30/03/2023,732891,0,732891,2714770.6,0,2714770.6,1.01,0.26,0,0,0,0,0
13,29/03/2023,1849597,0,1849597,6871975.9,0,6871975.9,3.18,0.86,0,0,0,0,0
14,28/03/2023,1634473,0,1634473,6212639.4,0,6212639.4,2.09,0.56,0,0,0,0,0
15,27/03/2023,679137,0,679137,2526100.4,0,2526100.4,1.03,0.28,0,0,0,0,0
16,24/03/2023,1132602,0,1132602,4239540.9,0,4239540.9,1.68,0.44,0,0,0,0,0
17,23/03/2023,764802,0,764802,2840397.4,0,2840397.4,1.47,0.42,0,0,0,0,0
18,22/03/2023,283174,0,283174,1057714,0,1057714,0.56,0.11,0,0,0,0,0
19,21/03/2023,935696,0,935696,3480314.2,0,3480314.2,2.04,0.44,0,0,0,0,0
20,20/03/2023,1072089,0,1072089,4024888.2,0,4024888.2,1.85,0.46,0,0,0,0,0
21,17/03/2023,851059,0,851059,3217026.1,0,3217026.1,1.71,0.42,0,0,0,0,0
22,16/03/2023,741447,0,741447,2762098.6,0,2762098.6,1.41,0.34,0,0,0,0,0
23,15/03/2023,1283075,0,1283075,4892089.3,0,4892089.3,1.56,0.42,0,0,0,0,0
24,14/03/2023,2632465,0,2632465,9868758.4,0,9868758.4,3.37,0.87,0,0,0,0,0
25,13/03/2023,2083990,0,2083990,8110026.3,0,8110026.3,3.81,1,0,0,0,0,0
26,10/03/2023,1583929,0,1583929,6325618.8,0,6325618.8,2.39,0.63,0,0,0,0,0
27,09/03/2023,1335893,0,1335893,5368562.4,0,5368562.4,2.34,0.61,0,0,0,0,0
28,08/03/2023,1405331,0,1405331,5619297.3,0,5619297.3,1.38,0.43,0,0,0,0,0
29,07/03/2023,1233076,0,1233076,4920661,0,4920661,2.74,0.71,0,0,0,0,0
30,06/03/2023,1997402,0,1997402,8006576.3,0,8006576.3,3.65,1,0,0,0,0,0
31,03/03/2023,2974090,0,2974090,11962291.6,0,11962291.6,4.39,1.12,0,0,0,0,0
32,02/03/2023,2377284,0,2377284,10177377.6,0,10177377.6,5.92,1.71,0,0,0,0,0
33,01/03/2023,4371529,0,4371529,17773444.7,0,17773444.7,7.34,1.92,0,0,3000,12000,0
34,28/02/2023,5388361,0,5388361,23516202.5,0,23516202.5,10.01,3.11,0,0,0,0,0
35,27/02/2023,7102393,0,7102393,32382135.6,0,32382135.6,10.19,3.2,0,0,0,0,0
36,24/02/2023,6310919,0,6310919,26427324.4,0,26427324.4,11.15,3.67,0,0,8,33.6,0
37,23/02/2023,2457777,0,2457777,9415683.7,0,9415683.7,2.99,0.7,0,0,0,0,0
38,22/02/2023,5823884,0,5823884,23434746,0,23434746,5.17,1.26,0,0,0,0,0
39,21/02/2023,2617321,0,2617321,10207191.4,0,10207191.4,3.02,0.72,0,0,0,0,0
40,20/02/2023,1145728,0,1145728,4219733.8,0,4219733.8,1.25,0.29,0,0,0,0,0
41,17/02/2023,456289,0,456289,1644045.4,0,1644045.4,0.74,0.17,0,0,1000,3600,0
42,16/02/2023,435027,0,435027,1557977.2,0,1557977.2,0.62,0.13,0,0,0,0,0
43,15/02/2023,623838,0,623838,2222768.2,0,2222768.2,1.02,0.22,0,0,0,0,0
44,14/02/2023,353860,0,353860,1241296,0,1241296,0.93,0.22,0,0,0,0,0
45,13/02/2023,1820466,0,1820466,6432966.7,0,6432966.7,2.2,0.58,0,0,0,0,0
46,10/02/2023,443124,0,443124,1628388.8,0,1628388.8,0.86,0.21,0,0,0,0,0
47,09/02/2023,480789,0,480789,1778167.7,0,1778167.7,1.04,0.24,0,0,0,0,0
48,08/02/2023,651595,0,651595,2413191,0,2413191,1.05,0.27,0,0,0,0,0
49,07/02/2023,1355895,0,1355895,5090461,0,5090461,1.93,0.47,0,0,0,0,0
50,06/02/2023,544690,0,544690,2007549,0,2007549,1.02,0.25,0,0,0,0,0
51,03/02/2023,502611,0,502611,1884683.8,0,1884683.8,0.89,0.22,0,0,0,0,0
52,02/02/2023,820017,0,820017,3091656.2,0,3091656.2,0.98,0.25,0,0,0,0,0
53,01/02/2023,1865843,0,1865843,7348006.3,0,7348006.3,1.42,0.38,0,0,0,0,0
54,31/01/2023,2715410,0,2715410,10898194,0,10898194,3.07,0.82,0,0,0,0,0
55,30/01/2023,3046337,0,3046337,11748781,0,11748781,2.82,0.75,0,0,0,0,0
56,27/01/2023,684044,0,684044,2505311.5,0,2505311.5,0.97,0.26,0,0,0,0,0
57,19/01/2023,841448,0,841448,3009741.8,0,3009741.8,1.18,0.29,0,0,0,0,0
58,18/01/2023,1040981,0,1040981,3647720.9,0,3647720.9,1.36,0.3,0,0,0,0,0
59,17/01/2023,552700,0,552700,1919730,0,1919730,0.78,0.18,0,0,0,0,0
60,16/01/2023,459800,0,459800,1576200,0,1576200,1.01,0.22,0,0,0,0,0
