STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,2007322,0,2007322,23454277.6,0,23454277.6,1.8,1.48,0,0,0,0,41085292
2,13/04/2023,1681872,0,1681872,21354818.6,0,21354818.6,1.92,1.68,0,0,0,0,41085292
3,12/04/2023,1403073,0,1403073,18791144.2,0,18791144.2,1.45,1.4,0,0,2000,26400,41086392
4,11/04/2023,2680495,0,2680495,34390951.6,0,34390951.6,2.35,2.01,1100,13960,0,0,41088392
5,10/04/2023,2379970,0,2379970,32173953.5,0,32173953.5,1.47,1.43,2000,26800,0,0,41088392
6,07/04/2023,2444837,0,2444837,29951752.9,0,29951752.9,2.22,1.96,0,0,0,0,41088392
7,06/04/2023,2137108,0,2137108,25653368.6,0,25653368.6,1.4,1.2,0,0,0,0,41094392
8,05/04/2023,1671442,0,1671442,18597485.8,0,18597485.8,1.37,1.15,6000,63870,0,0,41099792
9,04/04/2023,1013263,0,1013263,9980229.6,0,9980229.6,1.06,0.75,5400,51840,0,0,41099792
10,03/04/2023,1158937,0,1158937,10508088.7,0,10508088.7,1.13,0.66,0,0,0,0,41099792
11,31/03/2023,253483,0,253483,2149575.5,0,2149575.5,0.3,0.18,0,0,0,0,41099892
12,30/03/2023,251074,0,251074,2177277.9,0,2177277.9,0.35,0.21,100,880,0,0,41099892
13,29/03/2023,414715,0,414715,3614561,0,3614561,0.71,0.45,0,0,0,0,41101892
14,28/03/2023,621148,0,621148,5434941.6,0,5434941.6,0.79,0.49,2000,17800,0,0,41101892
15,27/03/2023,235636,0,235636,1977856.4,0,1977856.4,0.36,0.22,0,0,0,0,41101892
16,24/03/2023,198888,0,198888,1660205.7,0,1660205.7,0.3,0.17,0,0,0,0,41101892
17,23/03/2023,154900,0,154900,1266160,0,1266160,0.3,0.19,0,0,0,0,41101892
18,22/03/2023,106966,0,106966,883737.8,0,883737.8,0.21,0.1,0,0,0,0,41101892
19,21/03/2023,81360,0,81360,663611.3,0,663611.3,0.18,0.08,0,0,0,0,41101892
20,20/03/2023,176928,0,176928,1447699.8,0,1447699.8,0.31,0.17,0,0,0,0,41101892
21,17/03/2023,161101,0,161101,1356198.5,0,1356198.5,0.32,0.18,0,0,0,0,41101892
22,16/03/2023,170456,0,170456,1425286,0,1425286,0.32,0.18,0,0,0,0,41101892
23,15/03/2023,258878,0,258878,2200627.6,0,2200627.6,0.31,0.19,0,0,0,0,41102492
24,14/03/2023,191914,0,191914,1586077.5,0,1586077.5,0.25,0.14,600,4980,0,0,41102492
25,13/03/2023,136682,0,136682,1139912.1,0,1139912.1,0.25,0.14,0,0,0,0,41102492
26,10/03/2023,158221,0,158221,1325194.6,0,1325194.6,0.24,0.13,0,0,0,0,41102492
27,09/03/2023,165358,0,165358,1420293.9,0,1420293.9,0.29,0.16,0,0,0,0,41102492
28,08/03/2023,140709,0,140709,1189658.3,0,1189658.3,0.14,0.09,0,0,0,0,41102492
29,07/03/2023,65240,0,65240,553934.2,0,553934.2,0.15,0.08,0,0,0,0,41102492
30,06/03/2023,178569,0,178569,1552519.5,0,1552519.5,0.33,0.19,0,0,0,0,41102492
31,03/03/2023,89150,0,89150,751950.1,0,751950.1,0.13,0.07,0,0,0,0,41102492
32,02/03/2023,118554,0,118554,1013004.4,0,1013004.4,0.3,0.17,600,5130,0,0,41103092
33,01/03/2023,178832,0,178832,1495549.4,0,1495549.4,0.3,0.16,0,0,0,0,41103092
34,28/02/2023,153289,0,153289,1289638.3,0,1289638.3,0.28,0.17,0,0,0,0,41103092
35,27/02/2023,180379,0,180379,1510130.7,0,1510130.7,0.26,0.15,0,0,0,0,41103092
36,24/02/2023,129352,0,129352,1118232.5,0,1118232.5,0.23,0.16,0,0,0,0,41103092
37,23/02/2023,290829,0,290829,2549701,0,2549701,0.35,0.19,0,0,0,0,41103092
38,22/02/2023,387982,0,387982,3606351.6,0,3606351.6,0.34,0.19,0,0,0,0,41103092
39,21/02/2023,320625,0,320625,3119177,0,3119177,0.37,0.22,0,0,0,0,41103092
40,20/02/2023,647965,0,647965,6147998.6,0,6147998.6,0.71,0.43,0,0,0,0,41103092
41,17/02/2023,130531,0,130531,1179954.5,0,1179954.5,0.21,0.12,0,0,0,0,41103092
42,16/02/2023,136812,0,136812,1228906.8,0,1228906.8,0.2,0.1,0,0,0,0,41103092
43,15/02/2023,183610,0,183610,1635827.6,0,1635827.6,0.3,0.16,0,0,0,0,41103092
44,14/02/2023,101369,0,101369,857716.4,0,857716.4,0.27,0.15,11000,91300,0,0,41114092
45,13/02/2023,241870,0,241870,2093889.7,0,2093889.7,0.29,0.19,10000,92000,0,0,41124092
46,10/02/2023,142115,0,142115,1310294.2,0,1310294.2,0.28,0.17,0,0,0,0,41124092
47,09/02/2023,100201,0,100201,936839.4,0,936839.4,0.22,0.13,0,0,0,0,41124092
48,08/02/2023,202893,0,202893,1899907.3,0,1899907.3,0.33,0.22,15000,139500,0,0,41139092
49,07/02/2023,203445,0,203445,1922612.5,0,1922612.5,0.29,0.18,0,0,0,0,41139092
50,06/02/2023,159021,0,159021,1527469.8,0,1527469.8,0.3,0.19,0,0,0,0,41139092
51,03/02/2023,149768,0,149768,1477707.5,0,1477707.5,0.26,0.18,0,0,0,0,41139092
52,02/02/2023,175199,0,175199,1710472.7,0,1710472.7,0.21,0.14,0,0,0,0,41139092
53,01/02/2023,665845,0,665845,7031774.9,0,7031774.9,0.5,0.36,0,0,0,0,41139292
