STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,2951360,0,2951360,36534380.2,0,36534380.2,2.64,2.3,7000,84850,31900,384890,81935713
2,13/04/2023,1925278,0,1925278,24489733.2,0,24489733.2,2.2,1.93,7000,88200,0,0,81926293
3,12/04/2023,2151630,0,2151630,27995167.2,0,27995167.2,2.23,2.08,16200,210580,200,2640,81942393
4,11/04/2023,3765482,0,3765482,48328755.8,0,48328755.8,3.3,2.83,17100,222160,0,0,81952373
5,10/04/2023,3502000,0,3502000,47804346.9,0,47804346.9,2.17,2.13,28000,400400,25620,349062,81930463
6,07/04/2023,4618019,0,4618019,59577179.6,0,59577179.6,4.19,3.9,100,1230,1000,12900,81910963
7,06/04/2023,7380669,0,7380669,97519838.3,0,97519838.3,4.84,4.56,0,0,18020,247576,81927363
8,05/04/2023,5382234,0,5382234,66780251.6,0,66780251.6,4.42,4.12,19900,246380,22010,275825,81929463
9,04/04/2023,4954923,0,4954923,54869533.6,0,54869533.6,5.21,4.12,2100,22920,19500,213500,81929463
10,03/04/2023,2396893,0,2396893,25209236.3,0,25209236.3,2.33,1.58,0,0,3500,36750,81929363
11,31/03/2023,2084449,0,2084449,20618172.5,0,20618172.5,2.49,1.72,0,0,0,0,81929363
12,30/03/2023,1779288,0,1779288,17726647.4,0,17726647.4,2.46,1.72,0,0,100,990,81929363
13,29/03/2023,910438,0,910438,8844589.8,0,8844589.8,1.57,1.1,0,0,0,0,81929363
14,28/03/2023,1328389,0,1328389,13118366.5,0,13118366.5,1.7,1.17,0,0,0,0,81929263
15,27/03/2023,1715602,0,1715602,16938163.8,0,16938163.8,2.59,1.86,0,0,0,0,81928763
16,24/03/2023,1746852,0,1746852,16841166.3,0,16841166.3,2.6,1.73,0,0,0,0,81928763
17,23/03/2023,979201,0,979201,9104479.4,0,9104479.4,1.88,1.35,0,0,100,930,81928763
18,22/03/2023,765917,0,765917,7152208.1,0,7152208.1,1.53,0.77,0,0,500,4650,81928763
19,21/03/2023,720346,0,720346,6602058.6,0,6602058.6,1.57,0.83,0,0,0,0,81924363
20,20/03/2023,922559,0,922559,8532202.6,0,8532202.6,1.6,0.98,600,5520,0,0,81924363
21,17/03/2023,560900,0,560900,5293790,0,5293790,1.13,0.69,0,0,0,0,81924363
22,16/03/2023,1130786,0,1130786,10712089.8,0,10712089.8,2.15,1.32,0,0,5000,47500,81924363
23,15/03/2023,1977447,0,1977447,18906000.6,0,18906000.6,2.4,1.64,0,0,0,0,81923763
24,14/03/2023,1126370,0,1126370,10109193,0,10109193,1.44,0.89,500,4450,0,0,81923763
25,13/03/2023,674110,0,674110,6190660,0,6190660,1.23,0.76,0,0,1100,10120,81923763
26,10/03/2023,604070,0,604070,5623607,0,5623607,0.91,0.56,0,0,0,0,81923763
27,09/03/2023,1044640,0,1044640,9885916,0,9885916,1.83,1.12,0,0,0,0,81920763
28,08/03/2023,947150,0,947150,8596891,0,8596891,0.93,0.67,0,0,0,0,81920763
29,07/03/2023,664270,0,664270,5997809,0,5997809,1.48,0.86,0,0,0,0,81920763
30,06/03/2023,696258,0,696258,6341037.8,0,6341037.8,1.27,0.79,0,0,3000,27400,81918763
31,03/03/2023,641721,0,641721,5717079,0,5717079,0.95,0.53,0,0,0,0,81918763
32,02/03/2023,492400,0,492400,4464380,0,4464380,1.23,0.75,0,0,0,0,81921263
33,01/03/2023,814988,0,814988,7304204.4,0,7304204.4,1.37,0.79,2500,22000,2000,18400,81921263
34,28/02/2023,847919,0,847919,7453111,0,7453111,1.58,0.99,500,4400,0,0,81919963
35,27/02/2023,939241,0,939241,8302658.3,0,8302658.3,1.35,0.82,2500,22250,0,0,81919963
36,24/02/2023,494800,0,494800,4623860,0,4623860,0.87,0.64,300,2760,4300,39890,81917763
37,23/02/2023,1174326,0,1174326,10895964.2,0,10895964.2,1.43,0.81,0,0,0,0,81917763
38,22/02/2023,2215282,0,2215282,21467983.6,0,21467983.6,1.97,1.16,0,0,2500,24250,81972163
39,21/02/2023,1277450,0,1277450,12961042.5,0,12961042.5,1.47,0.91,54400,553440,0,0,81972163
40,20/02/2023,1798410,0,1798410,17729893.4,0,17729893.4,1.96,1.23,0,0,0,0,81972163
41,17/02/2023,868731,0,868731,8117515.5,0,8117515.5,1.4,0.85,0,0,0,0,81972163
42,16/02/2023,807311,0,807311,7432541.2,0,7432541.2,1.15,0.62,0,0,0,0,81972263
43,15/02/2023,851822,0,851822,7693285.3,0,7693285.3,1.39,0.76,100,920,0,0,81972263
44,14/02/2023,649500,0,649500,5593560,0,5593560,1.71,0.99,0,0,0,0,81972263
45,13/02/2023,1413600,0,1413600,12137683.3,0,12137683.3,1.71,1.09,13600,115700,0,0,81985863
46,10/02/2023,734000,0,734000,6820510.2,0,6820510.2,1.43,0.9,0,0,0,0,81985863
47,09/02/2023,383285,0,383285,3660021.6,0,3660021.6,0.83,0.49,0,0,0,0,81985863
48,08/02/2023,954772,0,954772,9047486.1,0,9047486.1,1.54,1.03,0,0,0,0,82011663
49,07/02/2023,1537834,0,1537834,14941493.3,0,14941493.3,2.19,1.39,27300,269520,0,0,82009663
50,06/02/2023,684315,0,684315,6606927,0,6606927,1.29,0.83,0,0,1500,14400,82009663
51,03/02/2023,941721,0,941721,9130168.8,0,9130168.8,1.66,1.08,6500,63300,0,0,82016163
52,02/02/2023,1802711,0,1802711,17784648.9,0,17784648.9,2.15,1.46,260000,2585650,2000,20000,82267363
53,01/02/2023,2710024,0,2710024,28851323.1,0,28851323.1,2.06,1.47,6300,64100,0,0,82267363
54,31/01/2023,1351964,0,1351964,14173487,0,14173487,1.53,1.07,0,0,15100,157040,82274753
55,30/01/2023,2009664,0,2009664,21041068.9,0,21041068.9,1.86,1.34,7400,77700,0,0,82272253
56,27/01/2023,1390479,0,1390479,14907027.9,0,14907027.9,1.97,1.53,0,0,0,0,82271753
57,19/01/2023,1425668,0,1425668,15424135.7,0,15424135.7,2.01,1.5,0,0,10,109,82271753
58,18/01/2023,2289937,0,2289937,23732768.2,0,23732768.2,2.98,1.97,0,0,2500,26350,82271353
