STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
8,05/04/2023,12,0,12,540,0,540,0,0,0,0,0,0,1522196
9,04/04/2023,3600,0,3600,162000,0,162000,0,0.01,0,0,0,0,1522196
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
56,27/01/2023,200,0,200,9000,0,9000,0,0,0,0,0,0,1522196
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1522196
