STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,96283977
