STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
13,29/03/2023,100,0,100,1190,0,1190,0,0,0,0,0,0,1749800
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
21,17/03/2023,200,0,200,2400,0,2400,0,0,0,0,0,0,1749800
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
27,09/03/2023,79,0,79,1093,0,1093,0,0,0,0,0,0,1749800
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
35,27/02/2023,1,0,1,14.1,0,14.1,0,0,0,0,0,0,1749800
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
50,06/02/2023,15,0,15,193.5,0,193.5,0,0,0,0,0,0,1749800
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1749800
