STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,3750,0,3750,51390,0,51390,0,0,0,0,0,0,243991180
2,13/04/2023,5340,0,5340,72840.8,0,72840.8,0.01,0.01,0,0,0,0,243991180
3,12/04/2023,2439,0,2439,33524.4,0,33524.4,0,0,0,0,0,0,243991180
4,11/04/2023,7400,0,7400,99770,0,99770,0.01,0.01,0,0,0,0,243991280
5,10/04/2023,13267,0,13267,183157.9,0,183157.9,0.01,0.01,100,1390,0,0,243991280
6,07/04/2023,4359,0,4359,60148.3,0,60148.3,0,0,0,0,0,0,243991280
7,06/04/2023,18582,0,18582,258115.4,0,258115.4,0.01,0.01,0,0,0,0,243991280
8,05/04/2023,9758,0,9758,135026.2,0,135026.2,0.01,0.01,0,0,0,0,243991580
9,04/04/2023,22655,0,22655,313498.8,0,313498.8,0.02,0.02,300,4200,0,0,243991580
10,03/04/2023,17769,0,17769,245653.7,0,245653.7,0.02,0.02,0,0,0,0,243991580
11,31/03/2023,33452,0,33452,450936.6,0,450936.6,0.04,0.04,0,0,0,0,243992080
12,30/03/2023,47633,0,47633,651153.5,0,651153.5,0.07,0.06,500,6850,0,0,243992080
13,29/03/2023,8813,0,8813,121979.4,0,121979.4,0.02,0.02,100,1390,0,0,243992180
14,28/03/2023,4219,0,4219,58795.1,0,58795.1,0.01,0.01,0,0,0,0,243992280
15,27/03/2023,16557,0,16557,229105.9,0,229105.9,0.03,0.03,100,1380,0,0,243992280
16,24/03/2023,2716,0,2716,38403.2,0,38403.2,0,0,0,0,0,0,243992280
17,23/03/2023,5831,0,5831,81108.1,0,81108.1,0.01,0.01,0,0,0,0,243992280
18,22/03/2023,8311,0,8311,115684,0,115684,0.02,0.01,0,0,0,0,243992280
19,21/03/2023,3359,0,3359,47190.9,0,47190.9,0.01,0.01,0,0,0,0,243992280
20,20/03/2023,8309,0,8309,116546,0,116546,0.01,0.01,0,0,0,0,243992280
21,17/03/2023,4642,0,4642,65860.5,0,65860.5,0.01,0.01,100,1430,0,0,243992380
22,16/03/2023,6400,0,6400,91010,0,91010,0.01,0.01,0,0,0,0,243992380
23,15/03/2023,6768,0,6768,97384.1,0,97384.1,0.01,0.01,1000,14300,0,0,243993680
24,14/03/2023,5507,0,5507,78969.8,0,78969.8,0.01,0.01,300,4300,0,0,243993680
25,13/03/2023,5702,0,5702,81848.6,0,81848.6,0.01,0.01,100,1440,0,0,243993780
26,10/03/2023,12706,0,12706,184190.6,0,184190.6,0.02,0.02,0,0,0,0,243994380
27,09/03/2023,6127,0,6127,87882.5,0,87882.5,0.01,0.01,600,8460,0,0,243994380
28,08/03/2023,6070,0,6070,86635,0,86635,0.01,0.01,0,0,0,0,243994380
29,07/03/2023,7938,0,7938,113794.5,0,113794.5,0.02,0.02,0,0,0,0,243994080
30,06/03/2023,5938,0,5938,86838.6,0,86838.6,0.01,0.01,200,2940,0,0,243994280
31,03/03/2023,12962,0,12962,191614.5,0,191614.5,0.02,0.02,200,2980,0,0,243994280
32,02/03/2023,118210,0,118210,1754729,0,1754729,0.29,0.29,0,0,500,7150,243994280
33,01/03/2023,8940,0,8940,126090,0,126090,0.02,0.01,0,0,0,0,243994280
34,28/02/2023,8602,0,8602,119297.4,0,119297.4,0.02,0.02,0,0,0,0,243994280
35,27/02/2023,4046,0,4046,56104.8,0,56104.8,0.01,0.01,0,0,0,0,243994280
36,24/02/2023,5104,0,5104,70604.8,0,70604.8,0.01,0.01,0,0,0,0,243994280
37,23/02/2023,7020,0,7020,96304,0,96304,0.01,0.01,0,0,0,0,243994280
38,22/02/2023,80627,0,80627,1091359.6,0,1091359.6,0.07,0.06,0,0,0,0,243994280
39,21/02/2023,8776,0,8776,120503.6,0,120503.6,0.01,0.01,0,0,0,0,243994280
40,20/02/2023,4428,0,4428,59724,0,59724,0,0,0,0,0,0,243994280
41,17/02/2023,3659,0,3659,48708.9,0,48708.9,0.01,0.01,0,0,0,0,243994280
42,16/02/2023,4870,0,4870,64610.1,0,64610.1,0.01,0.01,0,0,0,0,243994280
43,15/02/2023,2838,0,2838,37682.6,0,37682.6,0,0,0,0,0,0,243994280
44,14/02/2023,3161,0,3161,42357.2,0,42357.2,0.01,0.01,0,0,0,0,243994280
45,13/02/2023,2800,0,2800,38040,0,38040,0,0,0,0,0,0,243994280
46,10/02/2023,3469,0,3469,47646,0,47646,0.01,0.01,1800,24760,0,0,243996080
47,09/02/2023,4617,0,4617,63736.1,0,63736.1,0.01,0.01,0,0,0,0,243996080
48,08/02/2023,12408,0,12408,171461.2,0,171461.2,0.02,0.02,500,6950,0,0,243996780
49,07/02/2023,5144,0,5144,71231.6,0,71231.6,0.01,0.01,200,2780,0,0,243996780
50,06/02/2023,6273,0,6273,87818.4,0,87818.4,0.01,0.01,0,0,0,0,243996780
51,03/02/2023,4700,0,4700,65180,0,65180,0.01,0.01,0,0,0,0,243996780
52,02/02/2023,4896,0,4896,67544.2,0,67544.2,0.01,0.01,0,0,0,0,243996580
53,01/02/2023,6649,0,6649,92321.2,0,92321.2,0.01,0,0,0,0,0,243996580
54,31/01/2023,4378,0,4378,60853.7,0,60853.7,0,0,0,0,0,0,244000580
55,30/01/2023,12244,0,12244,170269.8,0,170269.8,0.01,0.01,4000,55200,200,2780,244004580
56,27/01/2023,6802,0,6802,94377.8,0,94377.8,0.01,0.01,4000,55660,0,0,244004580
57,19/01/2023,2660,0,2660,36232,0,36232,0,0,0,0,0,0,244004580
58,18/01/2023,10290,0,10290,140513.1,0,140513.1,0.01,0.01,0,0,0,0,244004580
59,17/01/2023,10101,0,10101,132612.6,0,132612.6,0.01,0.01,0,0,0,0,244004580
60,16/01/2023,2100,0,2100,27730,0,27730,0,0,0,0,0,0,244004580
