STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1765453
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1765453
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1765453
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1765453
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1765453
6,07/04/2023,0,100000,100000,0,9680500,9680500,2.81,2.64,0,0,0,0,1765453
7,06/04/2023,0,200000,200000,0,19439400,19439400,16.5,15.81,0,0,0,0,1765453
8,05/04/2023,0,100000,100000,0,10217700,10217700,8.12,8.3,0,0,0,0,1765453
9,04/04/2023,0,200000,200000,0,19328400,19328400,4.2,4.04,0,0,0,0,1765453
10,03/04/2023,0,100000,100000,0,8550700,8550700,1.27,1.07,0,0,0,0,1562408
11,31/03/2023,0,203045,203045,0,20775361.355,20775361.355,19.7,19.85,0,0,203045,20775361.355,1562408
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1562408
13,29/03/2023,35000,0,35000,3440535,0,3440535,2.35,2.33,35000,3440535,0,0,1597408
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1597408
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1597408
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1597408
17,23/03/2023,0,27000,27000,0,2630043,2630043,2.92,0.93,0,0,0,0,1597408
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1597408
19,21/03/2023,0,27000,27000,0,2057022,2057022,2.94,2.23,0,0,0,0,1597408
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1597408
21,17/03/2023,30000,0,30000,2940000,0,2940000,2.64,2.57,30000,2940000,0,0,1627408
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
24,14/03/2023,0,38000,38000,0,3692004,3692004,3.88,3.57,0,0,0,0,1627408
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
40,20/02/2023,0,50000,50000,0,4099250,4099250,1.89,1.54,0,0,0,0,1627408
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1627408
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
44,14/02/2023,0,150000,150000,0,15832950,15832950,11.6,12,0,0,0,0,1830453
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
46,10/02/2023,0,150000,150000,0,13393350,13393350,9.49,8.66,0,0,0,0,1830453
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
54,31/01/2023,0,150000,150000,0,12000000,12000000,17.72,14.59,0,0,0,0,1830453
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1830453
