STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,200,0,200,11690,0,11690,0,0,0,0,100,5500,2598412
2,13/04/2023,200,0,200,11410,0,11410,0,0,0,0,100,5450,2598412
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2598412
4,11/04/2023,219,0,219,12455,0,12455,0,0,0,0,100,5450,2598412
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2598312
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2598312
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2598212
8,05/04/2023,100,0,100,5950,0,5950,0,0,0,0,100,5950,2598212
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2598212
10,03/04/2023,200,0,200,12200,0,12200,0,0,0,0,100,5650,2598012
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2598012
12,30/03/2023,100,0,100,6000,0,6000,0,0,0,0,100,6000,2598012
13,29/03/2023,200,0,200,12420,0,12420,0,0,0,0,100,5900,2597912
14,28/03/2023,105,0,105,6835.5,0,6835.5,0,0,0,0,0,0,2597912
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
16,24/03/2023,500,0,500,29750,0,29750,0,0,0,0,100,5950,2597912
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
18,22/03/2023,100,0,100,6600,0,6600,0,0,0,0,0,0,2597912
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
20,20/03/2023,400,0,400,25640,0,25640,0,0,0,0,0,0,2597912
21,17/03/2023,31000,0,31000,1987100,0,1987100,0.06,0.26,0,0,0,0,2597912
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597912
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597812
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597712
30,06/03/2023,100,0,100,6510,0,6510,0,0,0,0,0,0,2597612
31,03/03/2023,100,0,100,6360,0,6360,0,0,0,0,100,6360,2597612
32,02/03/2023,200,0,200,13340,0,13340,0,0,0,0,100,6350,2597512
33,01/03/2023,200,0,200,13500,0,13500,0,0,0,0,100,6510,2597512
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597512
35,27/02/2023,200,0,200,13360,0,13360,0,0,0,0,100,6360,2597512
36,24/02/2023,200,0,200,14100,0,14100,0,0,0,0,0,0,2597312
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
38,22/02/2023,100,0,100,6410,0,6410,0,0,0,0,100,6410,2597312
39,21/02/2023,200,0,200,13400,0,13400,0,0,100,6310,100,6310,2597312
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
41,17/02/2023,100,0,100,7010,0,7010,0,0,0,0,100,7010,2597312
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2593412
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2597312
50,06/02/2023,3900,0,3900,273390,0,273390,0.01,0.03,3900,273390,3900,273390,2597312
51,03/02/2023,1900,0,1900,134140,0,134140,0,0.02,0,0,0,0,2597312
52,02/02/2023,2000,0,2000,140200,0,140200,0,0.01,2000,140200,0,0,2599312
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2599412
54,31/01/2023,300,0,300,21050,0,21050,0,0,100,7010,0,0,2599412
55,30/01/2023,300,0,300,21060,0,21060,0,0,0,0,0,0,2599612
56,27/01/2023,200,0,200,14020,0,14020,0,0,200,14020,0,0,2600412
57,19/01/2023,1909,0,1909,134130.9,0,134130.9,0,0.01,800,56080,0,0,2600412
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600712
59,17/01/2023,300,0,300,21030,0,21030,0,0,300,21030,0,0,2600812
60,16/01/2023,100,0,100,7010,0,7010,0,0,100,7010,0,0,2600812
