STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
8,05/04/2023,6,0,6,66,0,66,0,0,0,0,0,0,2904975
9,04/04/2023,1,0,1,11,0,11,0,0,0,0,0,0,2904975
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
22,16/03/2023,1,0,1,11,0,11,0,0,0,0,0,0,2904975
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
24,14/03/2023,7,0,7,77,0,77,0,0,0,0,0,0,2904975
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
27,09/03/2023,142000,0,142000,1562000,0,1562000,0.25,0.18,0,0,0,0,2904975
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
29,07/03/2023,1102200,0,1102200,12124200,0,12124200,2.45,1.74,0,0,0,0,2904975
30,06/03/2023,160300,0,160300,1763700,0,1763700,0.29,0.22,0,0,0,0,2904975
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
34,28/02/2023,500,0,500,5750,0,5750,0,0,0,0,0,0,2904975
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
42,16/02/2023,5,0,5,47.5,0,47.5,0,0,0,0,0,0,2904975
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
47,09/02/2023,300,0,300,3150,0,3150,0,0,0,0,0,0,2904975
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
50,06/02/2023,1,0,1,11,0,11,0,0,0,0,0,0,2904975
51,03/02/2023,300,0,300,3300,0,3300,0,0,0,0,0,0,2904975
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2904975
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2903675
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2903675
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2903675
56,27/01/2023,1300,0,1300,13650,0,13650,0,0,0,0,1300,13650,2903675
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2903675
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2903675
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2903675
60,16/01/2023,1502,0,1502,15762,0,15762,0,0,0,0,0,0,2903675
