STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,590777,0,590777,6876629,0,6876629,0.53,0.43,0,0,0,0,58948878
2,13/04/2023,517217,0,517217,6040300.6,0,6040300.6,0.59,0.48,0,0,0,0,58948878
3,12/04/2023,701387,0,701387,8289592.4,0,8289592.4,0.73,0.62,0,0,0,0,58948878
4,11/04/2023,618153,0,618153,7197195.1,0,7197195.1,0.54,0.42,0,0,0,0,58948678
5,10/04/2023,1440088,0,1440088,16940746,0,16940746,0.89,0.75,0,0,0,0,58948678
6,07/04/2023,743007,0,743007,8855674.7,0,8855674.7,0.67,0.58,0,0,0,0,58943478
7,06/04/2023,1341909,0,1341909,16580875.1,0,16580875.1,0.88,0.77,0,0,200,2480,58943478
8,05/04/2023,931865,0,931865,11419493.2,0,11419493.2,0.77,0.7,0,0,0,0,58938478
9,04/04/2023,1490901,0,1490901,18598772.9,0,18598772.9,1.57,1.4,0,0,5200,65460,58938478
10,03/04/2023,1051755,0,1051755,12658689.3,0,12658689.3,1.02,0.8,0,0,0,0,58938478
11,31/03/2023,904644,0,904644,10695174.6,0,10695174.6,1.08,0.89,0,0,5000,58500,58938478
12,30/03/2023,1093937,0,1093937,13342399.6,0,13342399.6,1.51,1.29,0,0,0,0,58938478
13,29/03/2023,688356,0,688356,8349134.8,0,8349134.8,1.18,1.04,0,0,0,0,58908478
14,28/03/2023,1051742,0,1051742,12918445.9,0,12918445.9,1.34,1.16,0,0,0,0,58918478
15,27/03/2023,1276453,0,1276453,15242557.4,0,15242557.4,1.93,1.67,10000,120000,30000,354000,58918478
16,24/03/2023,861821,0,861821,10153896,0,10153896,1.28,1.05,0,0,0,0,58898578
17,23/03/2023,556729,5000,561729,6530500.5,64000,6594500.5,1.08,0.98,100,1180,0,0,58899778
18,22/03/2023,1459293,0,1459293,17240573.2,0,17240573.2,2.91,1.85,1200,14140,0,0,58899778
19,21/03/2023,582925,0,582925,6570407.5,0,6570407.5,1.27,0.82,0,0,20000,226000,58899778
20,20/03/2023,822474,0,822474,9440222.9,0,9440222.9,1.42,1.09,0,0,0,0,58899778
21,17/03/2023,302980,0,302980,3472742,0,3472742,0.61,0.45,400,4600,0,0,58898778
22,16/03/2023,569388,0,569388,6542593,0,6542593,1.08,0.8,0,0,0,0,58898778
23,15/03/2023,589969,0,589969,6857793.4,0,6857793.4,0.72,0.59,0,0,1000,11600,58898778
24,14/03/2023,1165114,0,1165114,13087529.8,0,13087529.8,1.49,1.15,0,0,400,4400,58898778
25,13/03/2023,779568,0,779568,9081190.8,0,9081190.8,1.43,1.11,0,0,0,0,58899278
26,10/03/2023,1313176,0,1313176,15623210.9,0,15623210.9,1.98,1.56,500,6000,0,0,58899478
27,09/03/2023,817668,0,817668,10095341.5,0,10095341.5,1.43,1.15,200,2460,0,0,58899478
28,08/03/2023,902097,0,902097,11017994.9,0,11017994.9,0.88,0.85,0,0,0,0,58899478
29,07/03/2023,1048234,0,1048234,12516231.3,0,12516231.3,2.33,1.8,0,0,0,0,58899578
30,06/03/2023,702422,0,702422,8440997.8,0,8440997.8,1.28,1.05,200,2400,0,0,58900078
31,03/03/2023,1446197,0,1446197,16959323.2,0,16959323.2,2.14,1.59,500,5750,0,0,58900078
32,02/03/2023,614728,0,614728,7143129.4,0,7143129.4,1.53,1.2,0,0,100,1150,58900078
33,01/03/2023,750844,0,750844,8448046,0,8448046,1.26,0.91,0,0,0,0,58900078
34,28/02/2023,1170920,0,1170920,13095382,0,13095382,2.18,1.73,100,1110,0,0,58900578
35,27/02/2023,1215592,0,1215592,14173376.9,0,14173376.9,1.74,1.4,400,4680,0,0,58900578
36,24/02/2023,1044199,0,1044199,13012474.7,0,13012474.7,1.84,1.81,0,0,0,0,58900878
37,23/02/2023,1976126,0,1976126,23193421.8,0,23193421.8,2.4,1.73,300,3460,0,0,58900678
38,22/02/2023,2213714,0,2213714,27251027.9,0,27251027.9,1.96,1.47,0,0,0,0,58901678
39,21/02/2023,1478046,0,1478046,18852136.8,0,18852136.8,1.7,1.32,1000,12750,0,0,58901678
40,20/02/2023,2340868,0,2340868,28825243.6,0,28825243.6,2.55,1.99,0,0,200,2400,58901678
41,17/02/2023,1186222,0,1186222,13930757.2,0,13930757.2,1.91,1.47,0,0,0,0,58901678
42,16/02/2023,1545601,0,1545601,17902623.9,0,17902623.9,2.2,1.48,0,0,0,0,58901678
43,15/02/2023,1956197,0,1956197,22355352.4,0,22355352.4,3.2,2.2,0,0,0,0,58901678
44,14/02/2023,842559,0,842559,9198097.3,0,9198097.3,2.22,1.63,0,0,0,0,58901678
45,13/02/2023,1661749,0,1661749,17930055.3,0,17930055.3,2.01,1.62,0,0,0,0,58901678
46,10/02/2023,1536303,0,1536303,16424897.5,0,16424897.5,3,2.16,0,0,0,0,58901678
47,09/02/2023,550930,0,550930,5722052,0,5722052,1.19,0.77,0,0,0,0,58901678
48,08/02/2023,746526,0,746526,7502986.5,0,7502986.5,1.2,0.85,200,2020,0,0,58902078
49,07/02/2023,713622,0,713622,7264637.8,0,7264637.8,1.02,0.68,200,2060,0,0,58902178
50,06/02/2023,368365,0,368365,3810900.5,0,3810900.5,0.69,0.48,100,1050,0,0,58902178
51,03/02/2023,846269,0,846269,8835737.6,0,8835737.6,1.49,1.05,0,0,0,0,58899178
52,02/02/2023,869161,0,869161,9062230.5,0,9062230.5,1.04,0.74,300,3150,0,0,58899578
53,01/02/2023,1782773,0,1782773,20018982.5,0,20018982.5,1.35,1.02,100,1120,3000,32100,58899578
54,31/01/2023,914427,0,914427,10305680.9,0,10305680.9,1.03,0.78,0,0,0,0,58899578
55,30/01/2023,1718289,0,1718289,19610881.2,0,19610881.2,1.59,1.25,0,0,0,0,58899578
56,27/01/2023,844711,0,844711,9681562.2,0,9681562.2,1.2,0.99,0,0,0,0,58899578
57,19/01/2023,1145583,0,1145583,12724517.4,0,12724517.4,1.61,1.24,0,0,0,0,58899578
58,18/01/2023,1048025,0,1048025,11852147.4,0,11852147.4,1.37,0.98,0,0,0,0,58882078
59,17/01/2023,1029178,0,1029178,11580679.1,0,11580679.1,1.44,1.1,0,0,0,0,58882078
60,16/01/2023,1164574,0,1164574,12784814.5,0,12784814.5,2.56,1.75,0,0,17500,192750,58882078
