STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,1700,71,1771,63670,2669.6,66339.6,0,0,0,0,0,0,0
2,13/04/2023,910,0,910,34266,0,34266,0,0,0,0,0,0,0
3,12/04/2023,0,99,99,0,3346.2,3346.2,0,0,0,0,0,0,0
4,11/04/2023,400,297,697,15000,10038.6,25038.6,0,0,0,0,0,0,0
5,10/04/2023,5300,0,5300,198470,0,198470,0,0.01,0,0,0,0,0
6,07/04/2023,6400,0,6400,238720,0,238720,0.01,0.02,0,0,0,0,0
7,06/04/2023,6600,0,6600,246280,0,246280,0,0.01,0,0,0,0,0
8,05/04/2023,1100,40000,41100,40920,1472000,1512920,0.03,0.09,0,0,0,0,0
9,04/04/2023,4900,0,4900,181830,0,181830,0.01,0.01,0,0,0,0,0
10,03/04/2023,1000,0,1000,37100,0,37100,0,0,0,0,0,0,0
11,31/03/2023,700,0,700,25990,0,25990,0,0,0,0,0,0,0
12,30/03/2023,3300,0,3300,122650,0,122650,0,0.01,0,0,0,0,0
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
15,27/03/2023,200,0,200,7420,0,7420,0,0,0,0,0,0,0
16,24/03/2023,1500,0,1500,55650,0,55650,0,0.01,0,0,0,0,0
17,23/03/2023,500,0,500,18550,0,18550,0,0,0,0,0,0,0
18,22/03/2023,10,0,10,352,0,352,0,0,0,0,0,0,0
19,21/03/2023,2060,0,2060,76112,0,76112,0,0.01,0,0,0,0,0
20,20/03/2023,301,0,301,11299,0,11299,0,0,0,0,0,0,0
21,17/03/2023,1100,0,1100,40810,0,40810,0,0.01,0,0,0,0,0
22,16/03/2023,100,0,100,3750,0,3750,0,0,0,0,0,0,0
23,15/03/2023,800,0,800,29680,0,29680,0,0,0,0,0,0,0
24,14/03/2023,1000,0,1000,37000,0,37000,0,0,0,0,0,0,0
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
28,08/03/2023,500,0,500,18500,0,18500,0,0,0,0,0,0,0
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
32,02/03/2023,3400,0,3400,125800,0,125800,0.01,0.02,0,0,0,0,0
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
36,24/02/2023,600,0,600,22200,0,22200,0,0,0,0,0,0,0
37,23/02/2023,7200,0,7200,264800,0,264800,0.01,0.02,0,0,0,0,0
38,22/02/2023,1,0,1,40.3,0,40.3,0,0,0,0,0,0,0
39,21/02/2023,5020,0,5020,184564,0,184564,0.01,0.01,0,0,0,0,0
40,20/02/2023,2300,0,2300,85220,0,85220,0,0.01,0,0,0,0,0
41,17/02/2023,100,0,100,3740,0,3740,0,0,0,0,0,0,0
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
43,15/02/2023,200,0,200,7390,0,7390,0,0,0,0,0,0,0
44,14/02/2023,200,0,200,7400,0,7400,0,0,0,0,0,0,0
45,13/02/2023,300,0,300,11100,0,11100,0,0,0,0,0,0,0
46,10/02/2023,100,0,100,3750,0,3750,0,0,0,0,0,0,0
47,09/02/2023,658,0,658,24675,0,24675,0,0,0,0,0,0,0
48,08/02/2023,600,100000,100600,22140,3550000,3572140,0.16,0.4,0,0,0,0,0
49,07/02/2023,8,0,8,297.6,0,297.6,0,0,0,0,0,0,0
50,06/02/2023,90,0,90,3267,0,3267,0,0,0,0,0,0,0
51,03/02/2023,900,0,900,33480,0,33480,0,0,0,0,0,0,0
52,02/02/2023,2600,0,2600,96200,0,96200,0,0.01,0,0,0,0,0
53,01/02/2023,2,0,2,75.5,0,75.5,0,0,0,0,0,0,0
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
55,30/01/2023,1101,0,1101,41177.4,0,41177.4,0,0,0,0,0,0,0
56,27/01/2023,1000,0,1000,37570,0,37570,0,0,0,0,0,0,0
57,19/01/2023,1300,0,1300,48640,0,48640,0,0,0,0,0,0,0
58,18/01/2023,600,0,600,22500,0,22500,0,0,0,0,0,0,0
59,17/01/2023,100,0,100,3750,0,3750,0,0,0,0,0,0,0
60,16/01/2023,200,0,200,7500,0,7500,0,0,0,0,0,0,0
