STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,980,980,0,100891,100891,0.07,0.05,0,0,0,0,4974000
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
3,12/04/2023,0,2000,2000,0,202272,202272,0.19,0.17,0,0,0,0,4974000
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
7,06/04/2023,0,2029,2029,0,208635.983,208635.983,0.17,0.17,0,0,0,0,4974000
8,05/04/2023,0,4555,4555,0,464758.87,464758.87,0.37,0.38,0,0,0,0,4974000
9,04/04/2023,0,17420,17420,0,1769909.26,1769909.26,0.37,0.37,0,0,0,0,4974000
10,03/04/2023,0,2932,2932,0,295020.772,295020.772,0.04,0.04,0,0,0,0,4974000
11,31/03/2023,0,7750,7750,0,784726.25,784726.25,0.75,0.75,0,0,0,0,4974000
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
13,29/03/2023,0,4636,4636,0,465676.928,465676.928,0.31,0.32,0,0,0,0,4974000
14,28/03/2023,0,3832,3832,0,392764.672,392764.672,0.15,0.15,0,0,0,0,4974000
15,27/03/2023,0,13928,13928,0,1406316.541,1406316.541,0.38,0.38,0,0,0,0,4974000
16,24/03/2023,0,42099,42099,0,4252771.264,4252771.264,4.96,2.35,0,0,0,0,4974000
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
18,22/03/2023,0,980,980,0,100230.48,100230.48,0.04,0.04,0,0,0,0,4974000
19,21/03/2023,0,14321,14321,0,1444559.27,1444559.27,1.56,1.57,0,0,0,0,4974000
20,20/03/2023,0,12750,12750,0,1289697.6,1289697.6,0.79,0.79,0,0,0,0,4974000
21,17/03/2023,0,35112,35112,0,3539114.04,3539114.04,3.09,3.1,0,0,0,0,4974000
22,16/03/2023,0,980,980,0,100014.88,100014.88,0.19,0.17,0,0,0,0,4974000
23,15/03/2023,0,50195,50195,0,5054409.235,5054409.235,4.57,4.59,0,0,0,0,4974000
24,14/03/2023,0,23378,23378,0,2352761.92,2352761.92,2.39,2.27,0,0,0,0,4974000
25,13/03/2023,0,43432,43432,0,4376021.221,4376021.221,2.36,2.41,0,0,0,0,4974000
26,10/03/2023,0,4930,4930,0,492235.85,492235.85,0.3,0.3,0,0,0,0,4974000
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
28,08/03/2023,0,1483,1483,0,150586.786,150586.786,0.22,0.22,0,0,0,0,4974000
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
30,06/03/2023,0,4840,4840,0,491845.249,491845.249,0.29,0.29,0,0,0,0,4974000
31,03/03/2023,0,7933,7933,0,803084.246,803084.246,0.94,0.95,0,0,0,0,4974000
32,02/03/2023,0,2650,2650,0,263730.65,263730.65,0.73,0.72,0,0,0,0,4974000
33,01/03/2023,0,4461,4461,0,452261.025,452261.025,0.17,0.17,0,0,0,0,4974000
34,28/02/2023,0,29650,29650,0,2948751.8,2948751.8,1.36,1.36,0,0,0,0,4974000
35,27/02/2023,0,26497,26497,0,2652636.586,2652636.586,1.88,1.85,0,0,0,0,4974000
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
37,23/02/2023,0,9946,9946,0,994480.648,994480.648,1.23,1.2,0,0,0,0,4974000
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
39,21/02/2023,0,2970,2970,0,294659.64,294659.64,0.32,0.31,0,0,0,0,4974000
40,20/02/2023,0,40000,40000,0,3967080,3967080,1.51,1.49,0,0,0,0,4974000
41,17/02/2023,0,32725,32725,0,3307203.562,3307203.562,3.27,3.23,0,0,0,0,4974000
42,16/02/2023,0,27530,27530,0,2744400.906,2744400.906,1.51,1.48,0,0,0,0,4974000
43,15/02/2023,0,13839,13839,0,1380641.275,1380641.275,1.15,1.14,0,0,0,0,4974000
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
45,13/02/2023,0,4902,4902,0,494700.036,494700.036,0.21,0.21,0,0,0,0,4974000
46,10/02/2023,0,13907,13907,0,1385359.712,1385359.712,0.88,0.9,0,0,0,0,4974000
47,09/02/2023,0,14400,14400,0,1607212.8,1607212.8,1.2,1.33,0,0,0,0,4974000
48,08/02/2023,0,1483,1483,0,149388.522,149388.522,0.05,0.05,0,0,0,0,4974000
49,07/02/2023,0,1500,1500,0,149193,149193,0.08,0.08,0,0,0,0,4974000
50,06/02/2023,0,3241,3241,0,339503.801,339503.801,0.05,0.05,0,0,0,0,4974000
51,03/02/2023,0,18971,18971,0,1908937.904,1908937.904,0.94,0.94,0,0,0,0,4974000
52,02/02/2023,0,28550,28550,0,2841014.35,2841014.35,2.98,2.93,0,0,0,0,4974000
53,01/02/2023,0,29363,29363,0,2950306.151,2950306.151,2.14,2.14,0,0,0,0,4974000
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,4974000
56,27/01/2023,0,343100,343100,0,33681422.6,33681422.6,41.11,40.45,0,0,0,0,4974000
