STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
25,13/03/2023,100,0,100,1010,0,1010,0,0,0,0,0,0,551972
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
33,01/03/2023,100,0,100,1060,0,1060,0,0,0,0,0,0,551972
34,28/02/2023,100,0,100,1140,0,1140,0,0,0,0,0,0,551972
35,27/02/2023,100,0,100,1350,0,1350,0,0,0,0,0,0,551972
36,24/02/2023,200,0,200,2710,0,2710,0,0,0,0,0,0,551972
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
38,22/02/2023,200,0,200,2630,0,2630,0,0,0,0,0,0,551972
39,21/02/2023,100,0,100,1240,0,1240,0,0,0,0,0,0,551972
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
43,15/02/2023,400,0,400,5400,0,5400,0,0,0,0,0,0,551972
44,14/02/2023,1300,0,1300,17330,0,17330,0,0,0,0,0,0,551972
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
47,09/02/2023,600,0,600,7500,0,7500,0,0,0,0,0,0,551972
48,08/02/2023,100,0,100,1170,0,1170,0,0,0,0,0,0,551972
49,07/02/2023,5000,0,5000,54160,0,54160,0.01,0.01,0,0,0,0,551972
50,06/02/2023,200,0,200,2470,0,2470,0,0,0,0,0,0,551972
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
53,01/02/2023,200,0,200,2580,0,2580,0,0,0,0,0,0,551972
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,551972
