STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
10,03/04/2023,1,0,1,39.7,0,39.7,0,0,0,0,0,0,1470000
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
30,06/03/2023,1,0,1,36,0,36,0,0,0,0,0,0,1470000
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470000
