STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,9560000
