STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,1293320,0,1293320,2341288,0,2341288,1.16,0.15,0,0,0,0,0
2,13/04/2023,1188473,0,1188473,2251065.8,0,2251065.8,1.36,0.18,0,0,0,0,0
3,12/04/2023,2879308,0,2879308,5400314.9,0,5400314.9,2.98,0.4,0,0,0,0,0
4,11/04/2023,1359856,0,1359856,2375824.7,0,2375824.7,1.19,0.14,0,0,4300,7310,0
5,10/04/2023,4031179,0,4031179,7437765.1,0,7437765.1,2.49,0.33,0,0,0,0,0
6,07/04/2023,1775801,0,1775801,3376617,0,3376617,1.61,0.22,0,0,0,0,0
7,06/04/2023,4682454,0,4682454,9686179.2,0,9686179.2,3.07,0.45,0,0,0,0,0
8,05/04/2023,1377839,0,1377839,2897272.3,0,2897272.3,1.13,0.18,0,0,0,0,0
9,04/04/2023,815878,0,815878,1712749.5,0,1712749.5,0.86,0.13,0,0,0,0,0
10,03/04/2023,1299272,0,1299272,2732314.2,0,2732314.2,1.26,0.17,0,0,0,0,0
11,31/03/2023,419118,0,419118,857307.1,0,857307.1,0.5,0.07,0,0,0,0,0
12,30/03/2023,342973,0,342973,690593.3,0,690593.3,0.47,0.07,0,0,0,0,0
13,29/03/2023,581014,0,581014,1166133,0,1166133,1,0.15,0,0,0,0,0
14,28/03/2023,768556,0,768556,1534485.3,0,1534485.3,0.98,0.14,0,0,0,0,0
15,27/03/2023,457292,0,457292,892914,0,892914,0.69,0.1,0,0,0,0,0
16,24/03/2023,233080,0,233080,445500,0,445500,0.35,0.05,0,0,0,0,0
17,23/03/2023,576847,0,576847,1095728.3,0,1095728.3,1.11,0.16,0,0,0,0,0
18,22/03/2023,193493,0,193493,368886.7,0,368886.7,0.39,0.04,0,0,0,0,0
