STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,13,0,13,79.5,0,79.5,0,0,0,0,0,0,5728781
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,5728781
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,5728781
4,11/04/2023,1022,0,1022,6438.7,0,6438.7,0,0,0,0,0,0,5728781
5,10/04/2023,500,0,500,3240,0,3240,0,0,0,0,0,0,5728781
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,5728781
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,5728781
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,5728781
9,04/04/2023,100,0,100,690,0,690,0,0,0,0,0,0,5728781
10,03/04/2023,1500,0,1500,10370,0,10370,0,0,1400,9700,0,0,5730181
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
12,30/03/2023,10,0,10,63.1,0,63.1,0,0,0,0,0,0,5730181
13,29/03/2023,1,0,1,6.7,0,6.7,0,0,0,0,0,0,5730181
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
16,24/03/2023,900,0,900,5940,0,5940,0,0,0,0,0,0,5730181
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
19,21/03/2023,600,0,600,3960,0,3960,0,0,0,0,0,0,5730181
20,20/03/2023,1119,0,1119,7445.4,0,7445.4,0,0,0,0,0,0,5730181
21,17/03/2023,100,0,100,730,0,730,0,0,0,0,0,0,5730181
22,16/03/2023,12,0,12,93.6,0,93.6,0,0,0,0,0,0,5730181
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
24,14/03/2023,100,0,100,780,0,780,0,0,0,0,0,0,5730181
25,13/03/2023,201,0,201,1587.9,0,1587.9,0,0,0,0,0,0,5730181
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
30,06/03/2023,101,0,101,877.8,0,877.8,0,0,0,0,0,0,5730181
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
33,01/03/2023,1,0,1,7.8,0,7.8,0,0,0,0,0,0,5730181
34,28/02/2023,1,0,1,7.8,0,7.8,0,0,0,0,0,0,5730181
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
39,21/02/2023,500,0,500,4300,0,4300,0,0,0,0,0,0,5730181
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
42,16/02/2023,401,0,401,3528.8,0,3528.8,0,0,0,0,0,0,5730181
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
44,14/02/2023,221,0,221,2159,0,2159,0,0,0,0,0,0,5730181
45,13/02/2023,1000,0,1000,9900,0,9900,0,0,0,0,0,0,5730181
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
47,09/02/2023,1,0,1,9,0,9,0,0,0,0,0,0,5730181
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
50,06/02/2023,1,0,1,9,0,9,0,0,0,0,0,0,5730181
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
54,31/01/2023,101,0,101,999.5,0,999.5,0,0,0,0,0,0,5730181
55,30/01/2023,100,0,100,1050,0,1050,0,0,0,0,0,0,5730181
56,27/01/2023,1000,0,1000,10300,0,10300,0,0,0,0,0,0,5730181
57,19/01/2023,200,0,200,1940,0,1940,0,0,0,0,0,0,5730181
58,18/01/2023,100,0,100,960,0,960,0,0,0,0,0,0,5730181
59,17/01/2023,2,0,2,16.2,0,16.2,0,0,0,0,0,0,5730181
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,5730181
