STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,70325,0,70325,703404.1,0,703404.1,0.06,0.04,0,0,0,0,0
2,13/04/2023,88157,0,88157,894219.1,0,894219.1,0.1,0.07,0,0,0,0,0
3,12/04/2023,26208,0,26208,264821.6,0,264821.6,0.03,0.02,0,0,0,0,0
4,11/04/2023,3412,0,3412,34542.4,0,34542.4,0,0,0,0,0,0,0
5,10/04/2023,53056,125000,178056,537990.1,1375000,1912990.1,0.11,0.09,0,0,0,0,0
6,07/04/2023,44875,0,44875,451927.5,0,451927.5,0.04,0.03,0,0,50,495,0
7,06/04/2023,152418,31000,183418,1555030.4,341000,1896030.4,0.12,0.09,0,0,6200,62730,0
8,05/04/2023,91889,0,91889,919948.5,0,919948.5,0.08,0.06,0,0,0,0,0
9,04/04/2023,14025,0,14025,139282,0,139282,0.01,0.01,0,0,0,0,0
10,03/04/2023,95650,0,95650,940125.5,0,940125.5,0.09,0.06,0,0,0,0,0
11,31/03/2023,29950,50000,79950,293690,525000,818690,0.1,0.07,0,0,0,0,0
12,30/03/2023,64745,0,64745,647514.5,0,647514.5,0.09,0.06,0,0,0,0,0
13,29/03/2023,29892,0,29892,295710.6,0,295710.6,0.05,0.04,0,0,0,0,0
14,28/03/2023,57754,0,57754,570054.1,0,570054.1,0.07,0.05,0,0,0,0,0
15,27/03/2023,19891,50000,69891,192966.7,525000,717966.7,0.11,0.08,0,0,0,0,0
16,24/03/2023,67915,0,67915,652189.2,0,652189.2,0.1,0.07,0,0,0,0,0
17,23/03/2023,23367,0,23367,224738.8,0,224738.8,0.04,0.03,0,0,0,0,0
18,22/03/2023,37401,0,37401,357649.7,0,357649.7,0.07,0.04,0,0,0,0,0
19,21/03/2023,42211,0,42211,408725.6,0,408725.6,0.09,0.05,0,0,0,0,0
20,20/03/2023,32799,0,32799,320347.1,0,320347.1,0.06,0.04,0,0,0,0,0
21,17/03/2023,39667,0,39667,390781,0,390781,0.08,0.05,0,0,0,0,0
22,16/03/2023,52419,0,52419,516140,0,516140,0.1,0.06,0,0,0,0,0
23,15/03/2023,27536,0,27536,279796.4,0,279796.4,0.03,0.02,0,0,0,0,0
24,14/03/2023,61920,0,61920,610844,0,610844,0.08,0.05,0,0,0,0,0
25,13/03/2023,31441,0,31441,313281,0,313281,0.06,0.04,0,0,0,0,0
26,10/03/2023,24577,0,24577,250981.1,0,250981.1,0.04,0.03,0,0,0,0,0
27,09/03/2023,25700,0,25700,262230.1,0,262230.1,0.05,0.03,0,0,0,0,0
28,08/03/2023,41301,0,41301,408940.1,0,408940.1,0.04,0.03,0,0,0,0,0
29,07/03/2023,58362,150000,208362,583700,1500000,2083700,0.46,0.3,0,0,0,0,0
30,06/03/2023,38102,0,38102,385350.5,0,385350.5,0.07,0.05,0,0,0,0,0
31,03/03/2023,25032,0,25032,254512.1,0,254512.1,0.04,0.02,0,0,0,0,0
32,02/03/2023,9900,0,9900,100440,0,100440,0.02,0.02,0,0,0,0,0
33,01/03/2023,164113,0,164113,1646908.3,0,1646908.3,0.28,0.18,0,0,0,0,0
34,28/02/2023,88998,0,88998,920437.3,0,920437.3,0.17,0.12,0,0,0,0,0
35,27/02/2023,36378,0,36378,380817.6,0,380817.6,0.05,0.04,0,0,0,0,0
36,24/02/2023,41271,0,41271,444561,0,444561,0.07,0.06,0,0,2,21.2,0
37,23/02/2023,53399,0,53399,576844.1,0,576844.1,0.06,0.04,0,0,0,0,0
38,22/02/2023,90272,0,90272,987221.7,0,987221.7,0.08,0.05,0,0,0,0,0
39,21/02/2023,94608,0,94608,1055551.5,0,1055551.5,0.11,0.07,0,0,0,0,0
40,20/02/2023,106720,0,106720,1178259.7,0,1178259.7,0.12,0.08,0,0,0,0,0
41,17/02/2023,113906,0,113906,1250049.9,0,1250049.9,0.18,0.13,0,0,0,0,0
42,16/02/2023,55546,0,55546,614246,0,614246,0.08,0.05,0,0,0,0,0
43,15/02/2023,51654,0,51654,572595.2,0,572595.2,0.08,0.06,0,0,0,0,0
44,14/02/2023,24300,0,24300,268750,0,268750,0.06,0.05,0,0,0,0,0
45,13/02/2023,77502,0,77502,862573,0,862573,0.09,0.08,0,0,0,0,0
46,10/02/2023,93075,0,93075,1076507.5,0,1076507.5,0.18,0.14,0,0,0,0,0
47,09/02/2023,10125,0,10125,120150,0,120150,0.02,0.02,0,0,0,0,0
48,08/02/2023,18714,0,18714,221014.4,0,221014.4,0.03,0.03,0,0,0,0,0
49,07/02/2023,104302,0,104302,1231634,0,1231634,0.15,0.11,0,0,0,0,0
50,06/02/2023,19600,0,19600,237610,0,237610,0.04,0.03,0,0,0,0,0
51,03/02/2023,72760,0,72760,876734,0,876734,0.13,0.1,0,0,0,0,0
52,02/02/2023,136300,0,136300,1654470,0,1654470,0.16,0.14,0,0,0,0,0
53,01/02/2023,187911,0,187911,2424892.1,0,2424892.1,0.14,0.12,0,0,0,0,0
54,31/01/2023,308905,0,308905,3789481,0,3789481,0.35,0.29,0,0,0,0,0
55,30/01/2023,71155,0,71155,872108.2,0,872108.2,0.07,0.06,0,0,0,0,0
56,27/01/2023,270203,0,270203,3195725.1,0,3195725.1,0.38,0.33,0,0,0,0,0
57,19/01/2023,66618,0,66618,764882.4,0,764882.4,0.09,0.07,0,0,0,0,0
58,18/01/2023,52300,0,52300,601750,0,601750,0.07,0.05,0,0,0,0,0
59,17/01/2023,70600,0,70600,809490,0,809490,0.1,0.08,0,0,0,0,0
60,16/01/2023,24517,0,24517,277103.8,0,277103.8,0.05,0.04,0,0,0,0,0
