STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1753540
2,13/04/2023,1700,0,1700,16950,0,16950,0,0,1600,16000,1600,16000,1753540
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1753540
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1753540
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752540
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752540
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752640
8,05/04/2023,2105,0,2105,20839.5,0,20839.5,0,0,100,990,1000,9900,1752640
9,04/04/2023,9101,0,9101,81909,0,81909,0.01,0.01,0,0,0,0,1752640
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752640
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752640
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752640
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752640
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752640
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752640
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752640
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1752740
18,22/03/2023,100,0,100,1000,0,1000,0,0,100,1000,0,0,1749740
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1744740
20,20/03/2023,301,0,301,2738.3,0,2738.3,0,0,0,0,0,0,1744740
21,17/03/2023,9300,0,9300,76470,0,76470,0.02,0.01,0,0,3000,25700,1744740
22,16/03/2023,10400,0,10400,89270,0,89270,0.02,0.01,0,0,5000,43500,1744740
23,15/03/2023,5100,0,5100,46710,0,46710,0.01,0,0,0,0,0,1744640
24,14/03/2023,2000,0,2000,20200,0,20200,0,0,0,0,0,0,1744640
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1744640
26,10/03/2023,100,0,100,1120,0,1120,0,0,100,1120,100,1120,1744640
27,09/03/2023,100,0,100,1050,0,1050,0,0,0,0,0,0,1744740
28,08/03/2023,100,0,100,1120,0,1120,0,0,100,1120,100,1120,1744740
29,07/03/2023,1200,0,1200,12480,0,12480,0,0,0,0,0,0,1744740
30,06/03/2023,1000,0,1000,11500,0,11500,0,0,0,0,0,0,1744740
31,03/03/2023,100,0,100,1190,0,1190,0,0,0,0,0,0,1744740
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1744740
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1744740
34,28/02/2023,300,0,300,3850,0,3850,0,0,300,3850,0,0,1744840
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1744840
36,24/02/2023,200,0,200,2600,0,2600,0,0,0,0,0,0,1744940
37,23/02/2023,400,0,400,5080,0,5080,0,0,100,1270,200,2540,1744940
38,22/02/2023,200,0,200,2320,0,2320,0,0,0,0,0,0,1745040
39,21/02/2023,100,0,100,1280,0,1280,0,0,100,1280,0,0,1745040
40,20/02/2023,500,0,500,5850,0,5850,0,0,0,0,0,0,1745040
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1745040
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1743040
43,15/02/2023,4000,0,4000,50000,0,50000,0.01,0,0,0,0,0,1743040
44,14/02/2023,7613,0,7613,91096,0,91096,0.02,0.02,100,1200,2000,24000,1743140
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1743040
46,10/02/2023,500,0,500,5500,0,5500,0,0,0,0,0,0,1742640
47,09/02/2023,100,0,100,1100,0,1100,0,0,100,1100,100,1100,1742640
48,08/02/2023,600,0,600,5940,0,5940,0,0,0,0,500,5000,1742640
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1742740
50,06/02/2023,100,0,100,1040,0,1040,0,0,100,1040,0,0,1742740
51,03/02/2023,100,0,100,950,0,950,0,0,0,0,0,0,1742740
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1742740
53,01/02/2023,80,0,80,720,0,720,0,0,0,0,0,0,1742640
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1742540
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1742640
56,27/01/2023,2100,0,2100,21000,0,21000,0,0,100,1000,100,1000,1742640
57,19/01/2023,300,0,300,2750,0,2750,0,0,0,0,100,920,1742640
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1742640
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1742640
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1742640
