STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1391566
