STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,100,0,100,1410,0,1410,0,0,0,0,0,0,535274
2,13/04/2023,100,0,100,1540,0,1540,0,0,0,0,0,0,535274
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
8,05/04/2023,100,0,100,1710,0,1710,0,0,0,0,0,0,535274
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
10,03/04/2023,5,0,5,86,0,86,0,0,0,0,0,0,535274
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
12,30/03/2023,800,0,800,13760,0,13760,0,0,0,0,0,0,535274
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
14,28/03/2023,1005,0,1005,13727.5,0,13727.5,0,0,0,0,0,0,535274
15,27/03/2023,500,0,500,7300,0,7300,0,0,0,0,0,0,535274
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
34,28/02/2023,1,0,1,14.6,0,14.6,0,0,0,0,0,0,535274
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
37,23/02/2023,700,0,700,9310,0,9310,0,0,0,0,0,0,535274
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
41,17/02/2023,1100,0,1100,17340,0,17340,0,0,0,0,0,0,535274
42,16/02/2023,200,0,200,2960,0,2960,0,0,0,0,0,0,535274
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
46,10/02/2023,200,0,200,3120,0,3120,0,0,0,0,0,0,535274
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
48,08/02/2023,2200,0,2200,35200,0,35200,0,0,0,0,0,0,535274
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
50,06/02/2023,100,0,100,1700,0,1700,0,0,0,0,0,0,535274
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
53,01/02/2023,1600,0,1600,27200,0,27200,0,0,0,0,0,0,535274
54,31/01/2023,2500,0,2500,40210,0,40210,0,0,0,0,0,0,535274
55,30/01/2023,1800,0,1800,26750,0,26750,0,0,0,0,0,0,535274
56,27/01/2023,2000,0,2000,29000,0,29000,0,0,0,0,0,0,535274
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,535274
