STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,54910,0,54910,328820.4,0,328820.4,0.05,0.02,0,0,0,0,60410858
2,13/04/2023,10500,0,10500,63000,0,63000,0.01,0,0,0,0,0,60410858
3,12/04/2023,23900,0,23900,143720,0,143720,0.02,0.01,0,0,0,0,60410858
4,11/04/2023,14663,0,14663,87554.7,0,87554.7,0.01,0.01,0,0,0,0,60410858
5,10/04/2023,61100,0,61100,369940,0,369940,0.04,0.02,0,0,0,0,60412858
6,07/04/2023,19707,0,19707,119242,0,119242,0.02,0.01,2000,12390,0,0,60412858
7,06/04/2023,91504,0,91504,564134.8,0,564134.8,0.06,0.03,0,0,0,0,60412858
8,05/04/2023,54433,0,54433,323528.8,0,323528.8,0.04,0.02,0,0,0,0,60412858
9,04/04/2023,22800,0,22800,133930,0,133930,0.02,0.01,0,0,0,0,60412858
10,03/04/2023,13037,0,13037,76510.9,0,76510.9,0.01,0,0,0,0,0,60412858
11,31/03/2023,27600,0,27600,161310,0,161310,0.03,0.01,0,0,0,0,60412858
12,30/03/2023,163500,0,163500,964260,0,964260,0.23,0.09,0,0,0,0,60412858
13,29/03/2023,17300,0,17300,101130,0,101130,0.03,0.01,100,580,0,0,60412958
14,28/03/2023,32200,0,32200,188530,0,188530,0.04,0.02,0,0,0,0,60413058
15,27/03/2023,19500,0,19500,112820,0,112820,0.03,0.01,100,580,0,0,60413058
16,24/03/2023,31800,0,31800,181560,0,181560,0.05,0.02,0,0,0,0,60413058
17,23/03/2023,11300,0,11300,63470,0,63470,0.02,0.01,0,0,0,0,60413058
18,22/03/2023,24700,0,24700,142190,0,142190,0.05,0.02,0,0,0,0,60413058
19,21/03/2023,34400,0,34400,196170,0,196170,0.07,0.02,0,0,0,0,60413058
20,20/03/2023,23900,0,23900,137040,0,137040,0.04,0.02,0,0,0,0,60413058
21,17/03/2023,6600,0,6600,38030,0,38030,0.01,0,0,0,0,0,60412058
22,16/03/2023,17200,0,17200,99560,0,99560,0.03,0.01,0,0,0,0,60412058
23,15/03/2023,22800,0,22800,132710,0,132710,0.03,0.01,0,0,0,0,60412058
24,14/03/2023,44300,0,44300,253560,0,253560,0.06,0.02,0,0,1000,5600,60412058
25,13/03/2023,78200,0,78200,461800,0,461800,0.14,0.06,0,0,0,0,60412058
26,10/03/2023,60200,0,60200,360430,0,360430,0.09,0.04,0,0,0,0,60412058
27,09/03/2023,58800,0,58800,350650,0,350650,0.1,0.04,0,0,0,0,60412058
28,08/03/2023,14300,0,14300,84500,0,84500,0.01,0.01,0,0,0,0,60412058
29,07/03/2023,31400,0,31400,187510,0,187510,0.07,0.03,0,0,0,0,60412058
30,06/03/2023,25400,0,25400,152570,0,152570,0.05,0.02,0,0,0,0,60412058
31,03/03/2023,128400,0,128400,751740,0,751740,0.19,0.07,0,0,0,0,60412058
32,02/03/2023,80900,0,80900,470060,0,470060,0.2,0.08,0,0,0,0,60412058
33,01/03/2023,28700,0,28700,168500,0,168500,0.05,0.02,0,0,0,0,60412058
34,28/02/2023,358800,0,358800,2077110,0,2077110,0.67,0.27,0,0,0,0,60412058
35,27/02/2023,27100,0,27100,173050,0,173050,0.04,0.02,0,0,0,0,60412058
36,24/02/2023,26501,0,26501,177646.6,0,177646.6,0.05,0.02,0,0,0,0,60381058
37,23/02/2023,40900,0,40900,266590,0,266590,0.05,0.02,1100,7150,0,0,60381058
38,22/02/2023,197430,0,197430,1313624,0,1313624,0.18,0.07,0,0,32100,214720,60381058
39,21/02/2023,153301,0,153301,1061656.5,0,1061656.5,0.18,0.07,0,0,0,0,60381058
40,20/02/2023,212200,0,212200,1467400,0,1467400,0.23,0.1,0,0,0,0,60378058
41,17/02/2023,17531,0,17531,115769.6,0,115769.6,0.03,0.01,0,0,0,0,60378058
42,16/02/2023,15400,0,15400,102810,0,102810,0.02,0.01,0,0,0,0,60376058
43,15/02/2023,44401,0,44401,299346.7,0,299346.7,0.07,0.03,0,0,3000,20400,60376058
44,14/02/2023,22501,0,22501,141996.1,0,141996.1,0.06,0.03,0,0,0,0,60376058
45,13/02/2023,28000,0,28000,178740,0,178740,0.03,0.02,0,0,2000,13200,60362758
46,10/02/2023,8133,0,8133,54634.5,0,54634.5,0.02,0.01,0,0,0,0,60362758
47,09/02/2023,156334,0,156334,1036768,0,1036768,0.34,0.14,0,0,13300,93160,60362758
48,08/02/2023,10201,0,10201,77427.7,0,77427.7,0.02,0.01,0,0,0,0,60362358
49,07/02/2023,21400,0,21400,152680,0,152680,0.03,0.01,0,0,0,0,60362358
50,06/02/2023,3000,0,3000,22050,0,22050,0.01,0,0,0,0,0,60362358
51,03/02/2023,7800,0,7800,58390,0,58390,0.01,0.01,0,0,400,3000,60362358
52,02/02/2023,21700,0,21700,161000,0,161000,0.03,0.01,100,750,0,0,60359434
53,01/02/2023,52600,0,52600,384970,0,384970,0.04,0.02,0,0,0,0,60359434
54,31/01/2023,8300,0,8300,62930,0,62930,0.01,0,0,0,0,0,60359434
55,30/01/2023,68524,0,68524,521934.2,0,521934.2,0.06,0.03,0,0,3024,23384.2,60359434
56,27/01/2023,7700,0,7700,61330,0,61330,0.01,0.01,0,0,0,0,60359434
57,19/01/2023,15413,0,15413,119708.8,0,119708.8,0.02,0.01,0,0,0,0,60359434
58,18/01/2023,16635,0,16635,127472.5,0,127472.5,0.02,0.01,0,0,0,0,60359434
59,17/01/2023,18900,0,18900,148160,0,148160,0.03,0.01,0,0,0,0,60359234
60,16/01/2023,4000,0,4000,30520,0,30520,0.01,0,0,0,0,0,60359234
