STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577581
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577581
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577581
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577581
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577581
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577581
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577581
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577481
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577481
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577481
11,31/03/2023,100,0,100,2430,0,2430,0,0,0,0,100,2430,2577481
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577481
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577481
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577481
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577481
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577481
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577381
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577381
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577381
20,20/03/2023,100,0,100,2700,0,2700,0,0,0,0,100,2700,2577381
21,17/03/2023,700,0,700,21000,0,21000,0,0,400,12000,0,0,2577781
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2577781
32,02/03/2023,100,0,100,2980,0,2980,0,0,100,2980,0,0,2579881
33,01/03/2023,2000,0,2000,59600,0,59600,0,0.01,2000,59600,0,0,2579881
34,28/02/2023,100,0,100,2900,0,2900,0,0,0,0,0,0,2579881
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
37,23/02/2023,500,0,500,13550,0,13550,0,0,0,0,0,0,2579881
38,22/02/2023,1800,0,1800,48780,0,48780,0,0,0,0,0,0,2579881
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
58,18/01/2023,2000,0,2000,54000,0,54000,0,0,0,0,0,0,2579781
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2579881
60,16/01/2023,110,0,110,2972,0,2972,0,0,100,2660,100,2660,2579881
