STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,240220,0,240220,4591646,0,4591646,0.21,0.29,0,0,0,0,66786687
2,13/04/2023,112050,0,112050,2175435,0,2175435,0.13,0.17,0,0,0,0,66781687
3,12/04/2023,189147,0,189147,3752938.8,0,3752938.8,0.2,0.28,0,0,0,0,66781687
4,11/04/2023,186285,0,186285,3681821,0,3681821,0.16,0.22,0,0,0,0,66781687
5,10/04/2023,350953,0,350953,7189038.9,0,7189038.9,0.22,0.32,0,0,5000,103000,66781687
6,07/04/2023,262125,0,262125,5064607.5,0,5064607.5,0.24,0.33,0,0,0,0,66777687
7,06/04/2023,325705,0,325705,6363129.5,0,6363129.5,0.21,0.3,1100,21990,0,0,66777687
8,05/04/2023,181980,0,181980,3617266,0,3617266,0.15,0.22,0,0,0,0,66771087
9,04/04/2023,250910,0,250910,4984107,0,4984107,0.26,0.37,0,0,5100,102950,66771087
10,03/04/2023,277050,0,277050,5483608.5,0,5483608.5,0.27,0.34,500,9850,0,0,66792587
11,31/03/2023,291218,0,291218,5562102.4,0,5562102.4,0.35,0.47,21000,405600,6600,127800,66846087
12,30/03/2023,346165,0,346165,6374315.4,0,6374315.4,0.48,0.62,53500,978050,0,0,66846087
13,29/03/2023,122950,0,122950,2160058.2,0,2160058.2,0.21,0.27,34600,605500,0,0,66955096
14,28/03/2023,202610,0,202610,3579529.3,0,3579529.3,0.26,0.32,74409,1313961.1,0,0,66926796
15,27/03/2023,190806,0,190806,3336672.6,0,3336672.6,0.29,0.37,0,0,0,0,66905697
16,24/03/2023,151301,0,151301,2586137.1,0,2586137.1,0.22,0.27,1,17.1,0,0,66881597
17,23/03/2023,124600,0,124600,2104710,0,2104710,0.24,0.31,0,0,28300,477660,66815397
18,22/03/2023,63700,0,63700,1085850,0,1085850,0.13,0.12,0,0,21100,357290,66785797
19,21/03/2023,133700,0,133700,2244050,0,2244050,0.29,0.28,0,0,24100,401340,66735797
20,20/03/2023,153801,0,153801,2552518.3,0,2552518.3,0.27,0.29,0,0,66200,1097560,66735797
21,17/03/2023,76300,0,76300,1292460,0,1292460,0.15,0.17,0,0,29600,501540,66665797
