STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,200,0,200,2520,0,2520,0,0,0,0,0,0,1475899
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
5,10/04/2023,3,0,3,39.3,0,39.3,0,0,0,0,0,0,1475899
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
7,06/04/2023,2026,0,2026,28151,0,28151,0,0,0,0,0,0,1475899
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
9,04/04/2023,700,0,700,8870,0,8870,0,0,0,0,0,0,1475899
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
11,31/03/2023,200,0,200,2500,0,2500,0,0,0,0,0,0,1475899
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
29,07/03/2023,1,0,1,10.9,0,10.9,0,0,0,0,0,0,1475899
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
37,23/02/2023,200,0,200,2400,0,2400,0,0,0,0,0,0,1475899
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
46,10/02/2023,200,0,200,2360,0,2360,0,0,0,0,0,0,1475899
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1475899
