STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,171700,0,171700,951360,0,951360,0.15,0.06,0,0,0,0,29387593
2,13/04/2023,87300,0,87300,493070,0,493070,0.1,0.04,0,0,0,0,29387593
3,12/04/2023,95400,0,95400,545780,0,545780,0.1,0.04,0,0,0,0,29387593
4,11/04/2023,175315,0,175315,1001228.5,0,1001228.5,0.15,0.06,0,0,0,0,29387590
5,10/04/2023,111300,0,111300,641130,0,641130,0.07,0.03,0,0,0,0,29387590
6,07/04/2023,291900,845000,1136900,1660160,4816500,6476660,1.03,0.42,0,0,0,0,29387590
7,06/04/2023,458203,0,458203,2679797.7,0,2679797.7,0.3,0.13,0,0,3,17.7,29387590
8,05/04/2023,168301,0,168301,943335.7,0,943335.7,0.14,0.06,0,0,0,0,29387590
9,04/04/2023,145600,0,145600,801360,0,801360,0.15,0.06,0,0,0,0,29387590
10,03/04/2023,85500,0,85500,476950,0,476950,0.08,0.03,0,0,0,0,29387590
11,31/03/2023,73300,0,73300,400540,0,400540,0.09,0.03,0,0,0,0,29387590
12,30/03/2023,74300,530000,604300,411070,2968000,3379070,0.84,0.33,0,0,0,0,29387590
13,29/03/2023,65010,0,65010,359494,0,359494,0.11,0.04,10,54,0,0,29387600
14,28/03/2023,55300,0,55300,307350,0,307350,0.07,0.03,0,0,0,0,29387600
15,27/03/2023,114900,0,114900,631430,0,631430,0.17,0.07,0,0,0,0,29387600
16,24/03/2023,50100,205000,255100,278880,1148000,1426880,0.38,0.15,0,0,0,0,29387600
17,23/03/2023,44900,0,44900,246760,0,246760,0.09,0.04,0,0,0,0,29387600
18,22/03/2023,55700,0,55700,307800,0,307800,0.11,0.03,0,0,0,0,29387600
19,21/03/2023,121700,716900,838600,673350,4014640,4687990,1.83,0.59,0,0,0,0,29387600
20,20/03/2023,168200,0,168200,975770,0,975770,0.29,0.11,0,0,0,0,29387600
21,17/03/2023,239300,154000,393300,1332550,893200,2225750,0.79,0.29,0,0,0,0,29387600
22,16/03/2023,119801,0,119801,658355.6,0,658355.6,0.23,0.08,0,0,0,0,29387600
23,15/03/2023,153800,0,153800,861070,0,861070,0.19,0.07,0,0,0,0,29387600
24,14/03/2023,206900,1834100,2041000,1140480,10270960,11411440,2.61,1,0,0,0,0,29387600
25,13/03/2023,122400,0,122400,691580,0,691580,0.22,0.08,0,0,0,0,29387600
26,10/03/2023,168000,0,168000,961690,0,961690,0.25,0.1,0,0,0,0,29387600
27,09/03/2023,168500,0,168500,975120,0,975120,0.3,0.11,0,0,0,0,29387600
28,08/03/2023,80340,740000,820340,456958,4218000,4674958,0.8,0.36,0,0,0,0,29387600
29,07/03/2023,48400,0,48400,278880,0,278880,0.11,0.04,0,0,0,0,29387600
30,06/03/2023,99600,0,99600,576360,0,576360,0.18,0.07,0,0,0,0,29391600
31,03/03/2023,486200,0,486200,2809580,0,2809580,0.72,0.26,4000,23600,0,0,29391600
32,02/03/2023,88000,0,88000,510420,0,510420,0.22,0.09,0,0,0,0,29391600
33,01/03/2023,176500,0,176500,1024430,0,1024430,0.3,0.11,0,0,0,0,29391600
34,28/02/2023,116800,666700,783500,669100,3800190,4469290,1.46,0.59,0,0,0,0,29391600
