STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,4000,0,4000,32100,0,32100,0,0,0,0,0,0,0
2,13/04/2023,6300,0,6300,51680,0,51680,0.01,0,0,0,0,0,0
3,12/04/2023,600,0,600,4920,0,4920,0,0,0,0,0,0,0
4,11/04/2023,5300,0,5300,42500,0,42500,0,0,0,0,0,0,0
5,10/04/2023,800,0,800,6470,0,6470,0,0,0,0,0,0,0
6,07/04/2023,3400,0,3400,27220,0,27220,0,0,0,0,0,0,0
7,06/04/2023,16700,0,16700,133450,0,133450,0.01,0.01,0,0,0,0,0
8,05/04/2023,1100,0,1100,8910,0,8910,0,0,0,0,0,0,0
9,04/04/2023,1700,0,1700,13780,0,13780,0,0,0,0,0,0,0
10,03/04/2023,200,0,200,1620,0,1620,0,0,0,0,0,0,0
11,31/03/2023,400,0,400,3240,0,3240,0,0,0,0,0,0,0
12,30/03/2023,900,0,900,7260,0,7260,0,0,0,0,0,0,0
13,29/03/2023,17800,0,17800,142780,0,142780,0.03,0.02,0,0,0,0,0
14,28/03/2023,5000,0,5000,40100,0,40100,0.01,0,0,0,0,0,0
15,27/03/2023,11000,0,11000,88020,0,88020,0.02,0.01,0,0,0,0,0
16,24/03/2023,3700,0,3700,29810,0,29810,0.01,0,0,0,0,0,0
17,23/03/2023,50500,0,50500,404050,0,404050,0.1,0.06,0,0,0,0,0
18,22/03/2023,15600,0,15600,124800,0,124800,0.03,0.01,0,0,0,0,0
19,21/03/2023,2500,0,2500,20010,0,20010,0.01,0,0,0,0,0,0
20,20/03/2023,10000,0,10000,80300,0,80300,0.02,0.01,0,0,0,0,0
21,17/03/2023,2500,0,2500,20250,0,20250,0.01,0,0,0,0,0,0
22,16/03/2023,3000,0,3000,24020,0,24020,0.01,0,0,0,0,0,0
23,15/03/2023,4300,0,4300,35250,0,35250,0.01,0,0,0,0,0,0
24,14/03/2023,9100,0,9100,72850,0,72850,0.01,0.01,0,0,0,0,0
25,13/03/2023,2500,0,2500,20000,0,20000,0,0,0,0,0,0,0
26,10/03/2023,2900,0,2900,23120,0,23120,0,0,0,0,0,0,0
27,09/03/2023,100,0,100,800,0,800,0,0,0,0,0,0,0
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
29,07/03/2023,1300,0,1300,10430,0,10430,0,0,0,0,0,0,0
30,06/03/2023,1600,0,1600,12850,0,12850,0,0,0,0,0,0,0
31,03/03/2023,600,0,600,4810,0,4810,0,0,0,0,0,0,0
32,02/03/2023,41300,0,41300,329430,0,329430,0.1,0.06,0,0,0,0,0
33,01/03/2023,64600,0,64600,512300,0,512300,0.11,0.06,0,0,0,0,0
34,28/02/2023,200,0,200,1570,0,1570,0,0,0,0,0,0,0
35,27/02/2023,3100,0,3100,23980,0,23980,0,0,0,0,0,0,0
36,24/02/2023,5200,0,5200,41070,0,41070,0.01,0.01,0,0,0,0,0
37,23/02/2023,2400,0,2400,18480,0,18480,0,0,0,0,0,0,0
38,22/02/2023,200,0,200,1550,0,1550,0,0,0,0,0,0,0
39,21/02/2023,600,0,600,4730,0,4730,0,0,0,0,0,0,0
40,20/02/2023,1100,0,1100,8610,0,8610,0,0,0,0,0,0,0
41,17/02/2023,1400,0,1400,10740,0,10740,0,0,0,0,0,0,0
42,16/02/2023,200,0,200,1600,0,1600,0,0,0,0,0,0,0
43,15/02/2023,200,0,200,1570,0,1570,0,0,0,0,0,0,0
44,14/02/2023,900,0,900,7200,0,7200,0,0,0,0,0,0,0
45,13/02/2023,53500,0,53500,427050,0,427050,0.06,0.04,0,0,0,0,0
46,10/02/2023,12500,0,12500,98840,0,98840,0.02,0.01,0,0,0,0,0
47,09/02/2023,24600,0,24600,196920,0,196920,0.05,0.03,0,0,0,0,0
48,08/02/2023,28400,0,28400,227180,0,227180,0.05,0.03,0,0,0,0,0
49,07/02/2023,14700,0,14700,116120,0,116120,0.02,0.01,0,0,0,0,0
50,06/02/2023,66100,0,66100,525030,0,525030,0.12,0.07,0,0,0,0,0
51,03/02/2023,14800,0,14800,116460,0,116460,0.03,0.01,0,0,0,0,0
52,02/02/2023,1900,0,1900,15580,0,15580,0,0,0,0,0,0,0
53,01/02/2023,3900,0,3900,31140,0,31140,0,0,0,0,0,0,0
54,31/01/2023,1800,0,1800,14420,0,14420,0,0,0,0,0,0,0
55,30/01/2023,100,0,100,810,0,810,0,0,0,0,0,0,0
56,27/01/2023,20200,0,20200,157790,0,157790,0.03,0.02,0,0,0,0,0
57,19/01/2023,33800,0,33800,270740,0,270740,0.05,0.03,0,0,0,0,0
58,18/01/2023,1200,0,1200,10010,0,10010,0,0,0,0,0,0,0
59,17/01/2023,2100,0,2100,16880,0,16880,0,0,0,0,0,0,0
60,16/01/2023,3300,0,3300,25480,0,25480,0.01,0,0,0,0,0,0
