STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,1500,0,1500,48150,0,48150,0,0,0,0,0,0,1465080
2,13/04/2023,2400,0,2400,78420,0,78420,0,0.01,1000,32400,0,0,1465580
3,12/04/2023,1109,0,1109,37221.2,0,37221.2,0,0,500,16650,0,0,1465580
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466080
5,10/04/2023,900,0,900,31070,0,31070,0,0,500,16650,0,0,1466080
6,07/04/2023,100,0,100,3700,0,3700,0,0,0,0,0,0,1466080
7,06/04/2023,30,0,30,1104,0,1104,0,0,0,0,0,0,1466380
8,05/04/2023,1900,0,1900,64510,0,64510,0,0,300,10110,0,0,1466380
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
10,03/04/2023,1,0,1,37.2,0,37.2,0,0,0,0,0,0,1466380
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
13,29/03/2023,21,0,21,707.8,0,707.8,0,0,0,0,0,0,1466380
14,28/03/2023,1621,0,1621,55606.1,0,55606.1,0,0,0,0,0,0,1466380
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
16,24/03/2023,39,0,39,1330,0,1330,0,0,0,0,0,0,1466380
17,23/03/2023,1,0,1,34.2,0,34.2,0,0,0,0,0,0,1466380
18,22/03/2023,100,0,100,3415.4,0,3415.4,0,0,0,0,0,0,1466380
19,21/03/2023,300,0,300,10620,0,10620,0,0,0,0,0,0,1466380
20,20/03/2023,100,0,100,3790,0,3790,0,0,0,0,0,0,1466380
21,17/03/2023,115,0,115,4358.5,0,4358.5,0,0,0,0,0,0,1466380
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
26,10/03/2023,1,0,1,35.8,0,35.8,0,0,0,0,0,0,1466380
27,09/03/2023,100,0,100,3970,0,3970,0,0,0,0,0,0,1466380
28,08/03/2023,645,0,645,25575,0,25575,0,0,0,0,0,0,1466380
29,07/03/2023,14,0,14,514,0,514,0,0,0,0,0,0,1466380
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1466380
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1467280
37,23/02/2023,1300,0,1300,49540,0,49540,0,0,1000,38000,0,0,1467280
38,22/02/2023,1,0,1,36,0,36,0,0,0,0,0,0,1467280
39,21/02/2023,400,0,400,15210,0,15210,0,0,0,0,100,3860,1467280
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1467280
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1467280
42,16/02/2023,500,0,500,19400,0,19400,0,0,0,0,0,0,1468080
43,15/02/2023,2011,0,2011,70765,0,70765,0,0.01,800,28000,0,0,1468080
44,14/02/2023,600,0,600,21380,0,21380,0,0,500,17500,0,0,1468580
45,13/02/2023,801,0,801,31508.8,0,31508.8,0,0,300,11640,0,0,1468880
46,10/02/2023,301,0,301,12108.8,0,12108.8,0,0,100,3880,0,0,1469680
47,09/02/2023,1000,0,1000,36860,0,36860,0,0,700,24710,0,0,1469680
48,08/02/2023,100,0,100,3920,0,3920,0,0,0,0,0,0,1470180
49,07/02/2023,1260,0,1260,45041.5,0,45041.5,0,0,500,17850,0,0,1470680
50,06/02/2023,500,0,500,19800,0,19800,0,0,500,19800,0,0,1470680
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470680
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470680
53,01/02/2023,10,0,10,396,0,396,0,0,0,0,0,0,1470680
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470680
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470680
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470680
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470680
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470680
59,17/01/2023,2,0,2,87.8,0,87.8,0,0,0,0,0,0,1470680
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1470680
