STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,2400,0,2400,192250,0,192250,0,0.01,0,0,0,0,0
2,13/04/2023,2200,0,2200,176850,0,176850,0,0.01,0,0,0,0,0
3,12/04/2023,1300,0,1300,105330,0,105330,0,0.01,0,0,0,0,0
4,11/04/2023,6703,0,6703,534539.7,0,534539.7,0.01,0.03,0,0,0,0,0
5,10/04/2023,12200,0,12200,969460,0,969460,0.01,0.04,0,0,0,0,0
6,07/04/2023,12600,0,12600,1006080,0,1006080,0.01,0.07,0,0,0,0,0
7,06/04/2023,3419,0,3419,276538.5,0,276538.5,0,0.01,0,0,0,0,0
8,05/04/2023,14501,0,14501,1179501,0,1179501,0.01,0.07,0,0,0,0,0
9,04/04/2023,17805,0,17805,1444165.7,0,1444165.7,0.02,0.11,0,0,2500,202500,0
10,03/04/2023,15316,0,15316,1261730.1,0,1261730.1,0.01,0.08,0,0,0,0,0
11,31/03/2023,15204,0,15204,1263126,0,1263126,0.02,0.11,0,0,0,0,0
12,30/03/2023,11000,0,11000,916870,0,916870,0.02,0.09,0,0,0,0,0
13,29/03/2023,5100,0,5100,416960,0,416960,0.01,0.05,0,0,200,16240,0
14,28/03/2023,4300,0,4300,348980,0,348980,0.01,0.03,0,0,0,0,0
15,27/03/2023,5001,0,5001,401700,0,401700,0.01,0.04,0,0,0,0,0
16,24/03/2023,3400,0,3400,271510,0,271510,0.01,0.03,0,0,0,0,0
17,23/03/2023,7500,0,7500,599060,0,599060,0.01,0.09,0,0,0,0,0
18,22/03/2023,7000,0,7000,557380,0,557380,0.01,0.06,0,0,0,0,0
19,21/03/2023,1600,0,1600,127360,0,127360,0,0.02,0,0,0,0,0
20,20/03/2023,4430,0,4430,354305.9,0,354305.9,0.01,0.04,0,0,0,0,0
21,17/03/2023,3000,0,3000,239240,0,239240,0.01,0.03,0,0,0,0,0
22,16/03/2023,6500,0,6500,515300,0,515300,0.01,0.06,0,0,0,0,0
23,15/03/2023,4100,0,4100,336410,0,336410,0,0.03,0,0,0,0,0
24,14/03/2023,16500,0,16500,1315730,0,1315730,0.02,0.12,0,0,400,31810,0
25,13/03/2023,6400,0,6400,505530,0,505530,0.01,0.06,0,0,0,0,0
26,10/03/2023,9400,0,9400,732970,0,732970,0.01,0.07,0,0,0,0,0
27,09/03/2023,6216,0,6216,470904.4,0,470904.4,0.01,0.05,0,0,0,0,0
28,08/03/2023,1900,0,1900,143170,0,143170,0,0.01,0,0,0,0,0
29,07/03/2023,1807,0,1807,136742.5,0,136742.5,0,0.02,0,0,0,0,0
30,06/03/2023,4511,0,4511,338057.3,0,338057.3,0.01,0.04,0,0,300,22300,0
31,03/03/2023,2600,0,2600,193700,0,193700,0,0.02,0,0,0,0,0
32,02/03/2023,2426,0,2426,180780,0,180780,0.01,0.03,0,0,0,0,0
33,01/03/2023,6661,0,6661,496241.1,0,496241.1,0.01,0.05,0,0,0,0,0
34,28/02/2023,1900,0,1900,141750,0,141750,0,0.02,0,0,0,0,0
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
36,24/02/2023,3100,0,3100,231520,0,231520,0.01,0.03,0,0,0,0,0
37,23/02/2023,13514,0,13514,998000.4,0,998000.4,0.02,0.07,0,0,0,0,0
38,22/02/2023,6867,0,6867,520453,0,520453,0.01,0.03,0,0,0,0,0
39,21/02/2023,4400,0,4400,333960,0,333960,0.01,0.02,0,0,0,0,0
40,20/02/2023,11002,0,11002,835551,0,835551,0.01,0.06,0,0,200,15200,0
41,17/02/2023,1900,0,1900,144570,0,144570,0,0.02,0,0,0,0,0
42,16/02/2023,8302,0,8302,626688.4,0,626688.4,0.01,0.05,0,0,0,0,0
43,15/02/2023,8466,0,8466,618431.6,0,618431.6,0.01,0.06,0,0,0,0,0
44,14/02/2023,3200,0,3200,232790,0,232790,0.01,0.04,0,0,0,0,0
45,13/02/2023,7000,0,7000,505910,0,505910,0.01,0.05,0,0,0,0,0
46,10/02/2023,2400,0,2400,174590,0,174590,0,0.02,0,0,0,0,0
47,09/02/2023,1501,0,1501,108509.7,0,108509.7,0,0.01,0,0,0,0,0
48,08/02/2023,4900,0,4900,354420,0,354420,0.01,0.04,0,0,0,0,0
49,07/02/2023,9200,0,9200,666430,0,666430,0.01,0.06,0,0,0,0,0
50,06/02/2023,9200,0,9200,660040,0,660040,0.02,0.08,0,0,0,0,0
51,03/02/2023,6602,0,6602,466236,0,466236,0.01,0.06,0,0,0,0,0
52,02/02/2023,3600,0,3600,254690,0,254690,0,0.02,0,0,0,0,0
53,01/02/2023,28304,0,28304,2020062,0,2020062,0.02,0.1,0,0,0,0,0
54,31/01/2023,10400,0,10400,748020,0,748020,0.01,0.06,0,0,0,0,0
55,30/01/2023,13010,0,13010,936044,0,936044,0.01,0.06,0,0,0,0,0
56,27/01/2023,5810,0,5810,417200,0,417200,0.01,0.04,0,0,0,0,0
57,19/01/2023,14200,0,14200,1007240,0,1007240,0.02,0.1,0,0,0,0,0
58,18/01/2023,8001,0,8001,567181.7,0,567181.7,0.01,0.05,0,0,0,0,0
59,17/01/2023,7900,0,7900,558820,0,558820,0.01,0.05,0,0,0,0,0
60,16/01/2023,11391,0,11391,819396.5,0,819396.5,0.03,0.11,0,0,0,0,0
