STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,300,0,300,3410,0,3410,0,0,0,0,0,0,11991590
2,13/04/2023,500,0,500,5650,0,5650,0,0,0,0,0,0,11991590
3,12/04/2023,1900,0,1900,21390,0,21390,0,0,0,0,0,0,11991590
4,11/04/2023,300,0,300,3390,0,3390,0,0,0,0,0,0,11991590
5,10/04/2023,600,0,600,6940,0,6940,0,0,0,0,0,0,11991590
6,07/04/2023,100,0,100,1140,0,1140,0,0,0,0,0,0,11991590
7,06/04/2023,100,0,100,1140,0,1140,0,0,0,0,0,0,11991590
8,05/04/2023,500,0,500,5400,0,5400,0,0,0,0,0,0,11991590
9,04/04/2023,100,0,100,1100,0,1100,0,0,0,0,0,0,11991590
10,03/04/2023,700,0,700,7990,0,7990,0,0,0,0,0,0,11991590
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,11991590
12,30/03/2023,2600,0,2600,28080,0,28080,0,0,0,0,0,0,11991590
13,29/03/2023,500,0,500,5370,0,5370,0,0,0,0,0,0,11991590
14,28/03/2023,600,0,600,6640,0,6640,0,0,0,0,0,0,11992590
15,27/03/2023,1011,0,1011,11523.8,0,11523.8,0,0,1000,11400,0,0,11992590
16,24/03/2023,800,0,800,8960,0,8960,0,0,0,0,0,0,11992590
17,23/03/2023,1501,0,1501,16361.8,0,16361.8,0,0,0,0,0,0,11992590
18,22/03/2023,300,0,300,3280,0,3280,0,0,0,0,0,0,11992590
19,21/03/2023,200,0,200,2180,0,2180,0,0,0,0,0,0,11992590
20,20/03/2023,606,0,606,6656,0,6656,0,0,0,0,0,0,11992590
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992590
22,16/03/2023,2,0,2,24,0,24,0,0,0,0,0,0,11992590
23,15/03/2023,3400,0,3400,37940,0,37940,0,0,0,0,0,0,11992590
24,14/03/2023,2000,0,2000,21960,0,21960,0,0,0,0,0,0,11992590
25,13/03/2023,1400,0,1400,15460,0,15460,0,0,0,0,0,0,11992590
26,10/03/2023,300,0,300,3330,0,3330,0,0,0,0,0,0,11992590
27,09/03/2023,2200,0,2200,24830,0,24830,0,0,0,0,0,0,11992590
28,08/03/2023,300,0,300,3320,0,3320,0,0,0,0,0,0,11992590
29,07/03/2023,600,0,600,6860,0,6860,0,0,0,0,0,0,11992590
30,06/03/2023,100,0,100,1150,0,1150,0,0,0,0,0,0,11992590
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992590
32,02/03/2023,1100,0,1100,12320,0,12320,0,0,0,0,0,0,11992590
33,01/03/2023,200,0,200,2260,0,2260,0,0,0,0,0,0,11992590
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992590
35,27/02/2023,200,0,200,2230,0,2230,0,0,0,0,0,0,11992590
36,24/02/2023,200,0,200,2250,0,2250,0,0,0,0,0,0,11992590
37,23/02/2023,100,0,100,1150,0,1150,0,0,0,0,0,0,11992590
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992590
39,21/02/2023,3000,0,3000,34510,0,34510,0,0,0,0,0,0,11992590
40,20/02/2023,900,0,900,10390,0,10390,0,0,0,0,0,0,11992590
41,17/02/2023,300,0,300,3340,0,3340,0,0,0,0,0,0,11992590
42,16/02/2023,1200,0,1200,13170,0,13170,0,0,0,0,0,0,11992590
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992590
44,14/02/2023,1600,0,1600,17470,0,17470,0,0,0,0,0,0,11992590
45,13/02/2023,8501,0,8501,96341.9,0,96341.9,0.01,0.01,0,0,0,0,11992590
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992590
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992590
48,08/02/2023,700,0,700,8750,0,8750,0,0,0,0,0,0,11992590
49,07/02/2023,1800,0,1800,21400,0,21400,0,0,0,0,0,0,11992590
50,06/02/2023,6701,0,6701,81854.8,0,81854.8,0.01,0.01,0,0,0,0,11992590
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992590
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992690
53,01/02/2023,2300,0,2300,30960,0,30960,0,0,100,1350,0,0,11992690
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,11992690
55,30/01/2023,1200,0,1200,15100,0,15100,0,0,0,0,0,0,11992690
56,27/01/2023,600,0,600,7510,0,7510,0,0,0,0,0,0,11992690
57,19/01/2023,700,0,700,8360,0,8360,0,0,0,0,0,0,11992690
58,18/01/2023,5500,0,5500,63820,0,63820,0.01,0.01,0,0,0,0,11992690
59,17/01/2023,2200,0,2200,25900,0,25900,0,0,0,0,0,0,11992690
60,16/01/2023,1,0,1,12.4,0,12.4,0,0,0,0,0,0,11992690
