STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,100,0,100,2720,0,2720,0,0,0,0,0,0,0
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12/04/2023,12800,0,12800,344060,0,344060,0.01,0.03,0,0,5000,135000,0
4,11/04/2023,3021,0,3021,81567,0,81567,0,0,0,0,2800,75600,0
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
6,07/04/2023,300,0,300,8250,0,8250,0,0,0,0,0,0,0
7,06/04/2023,30500,0,30500,859140,0,859140,0.02,0.04,0,0,100,2710,0
8,05/04/2023,1900,0,1900,50940,0,50940,0,0,0,0,0,0,0
9,04/04/2023,6500,0,6500,176620,0,176620,0.01,0.01,0,0,0,0,0
10,03/04/2023,20,0,20,540,0,540,0,0,0,0,0,0,0
11,31/03/2023,7200,0,7200,195560,0,195560,0.01,0.02,0,0,0,0,0
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28/03/2023,300,0,300,8160,0,8160,0,0,0,0,0,0,28147453
15,27/03/2023,200,0,200,5420,0,5420,0,0,0,0,0,0,28147453
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,28147453
17,23/03/2023,500,0,500,13600,0,13600,0,0,0,0,0,0,28147753
18,22/03/2023,1000,0,1000,27300,0,27300,0,0,300,8190,0,0,28147853
19,21/03/2023,100,0,100,2820,0,2820,0,0,100,2820,0,0,28150153
20,20/03/2023,17411,0,17411,484190.2,0,484190.2,0.03,0.06,2300,64040,0,0,28150153
21,17/03/2023,3805,0,3805,107187,0,107187,0.01,0.01,2200,62040,0,0,28152853
22,16/03/2023,2200,0,2200,59930,0,59930,0,0.01,600,16380,0,0,28152853
23,15/03/2023,1100,0,1100,30170,0,30170,0,0,0,0,100,2820,28152853
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,28152853
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,28152853
26,10/03/2023,75,0,75,2047.5,0,2047.5,0,0,0,0,0,0,28152853
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,28159353
28,08/03/2023,12200,0,12200,345530,0,345530,0.01,0.03,6500,183750,0,0,28159353
29,07/03/2023,100,0,100,2740,0,2740,0,0,0,0,0,0,28159353
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,28159353
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,28159353
32,02/03/2023,360,0,360,10143,0,10143,0,0,200,5660,0,0,28159553
33,01/03/2023,125,0,125,3417.5,0,3417.5,0,0,0,0,0,0,28159553
34,28/02/2023,8600,0,8600,243350,0,243350,0.02,0.03,2600,73570,0,0,28162953
35,27/02/2023,9300,0,9300,258350,0,258350,0.01,0.03,800,22540,0,0,28162953
36,24/02/2023,9425,0,9425,265737.5,0,265737.5,0.02,0.04,2800,79050,0,0,28165953
37,23/02/2023,200,0,200,5620,0,5620,0,0,200,5620,0,0,28169353
38,22/02/2023,3510,0,3510,99420,0,99420,0,0.01,3400,96300,0,0,28169353
39,21/02/2023,1300,0,1300,35550,0,35550,0,0,0,0,0,0,28165253
40,20/02/2023,1250,0,1250,34170,0,34170,0,0,0,0,0,0,28165253
41,17/02/2023,600,0,600,17040,0,17040,0,0,0,0,0,0,28165253
42,16/02/2023,9100,0,9100,258680,0,258680,0.01,0.02,5000,142000,4100,116830,28170153
43,15/02/2023,100,0,100,2720,0,2720,0,0,0,0,0,0,28170153
44,14/02/2023,100,0,100,2720,0,2720,0,0,0,0,100,2720,28170053
45,13/02/2023,2950,0,2950,80300,0,80300,0,0.01,100,2900,0,0,28170153
46,10/02/2023,100,0,100,2730,0,2730,0,0,0,0,100,2730,28170053
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,28170053
48,08/02/2023,600,0,600,16750,0,16750,0,0,100,2970,0,0,28170253
49,07/02/2023,200,0,200,5660,0,5660,0,0,100,3000,100,2660,28172853
50,06/02/2023,3300,0,3300,95230,0,95230,0.01,0.01,2600,74940,0,0,28172853
51,03/02/2023,400,0,400,11000,0,11000,0,0,0,0,0,0,28172853
52,02/02/2023,100,0,100,2730,0,2730,0,0,0,0,0,0,28172853
53,01/02/2023,9411,0,9411,280699.2,0,280699.2,0.01,0.01,100,2980,0,0,28173353
54,31/01/2023,600,0,600,17700,0,17700,0,0,500,15030,0,0,28177853
55,30/01/2023,4601,0,4601,132859,0,132859,0,0.01,4500,130130,100,2700,28179053
56,27/01/2023,1200,0,1200,33600,0,33600,0,0,1200,33600,0,0,28179053
57,19/01/2023,1300,0,1300,34440,0,34440,0,0,0,0,0,0,28179053
58,18/01/2023,5600,0,5600,151460,0,151460,0.01,0.01,1800,48840,0,0,28180953
59,17/01/2023,100,0,100,2790,0,2790,0,0,100,2790,0,0,28181353
60,16/01/2023,800,0,800,20990,0,20990,0,0,400,10480,0,0,28181353
