STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,13977468,0,13977468,336191238.3,0,336191238.3,12.51,21.19,190600,4557050,93010,2284510,117283991
2,13/04/2023,7870234,0,7870234,198018299.7,0,198018299.7,9,15.58,94100,2364990,550,13715,117679791
3,12/04/2023,6440979,30000,6470979,164190816.7,747000,164937816.7,6.69,12.26,399100,10199970,2250,57435,117895691
4,11/04/2023,15408534,160000,15568534,376334984,3982720,380317704,13.66,22.26,233000,5680780,60746,1499006.2,117979111
5,10/04/2023,11776515,0,11776515,301255720,0,301255720,7.29,13.39,86750,2253995,3300,83800,117979011
6,07/04/2023,11657589,490000,12147589,290723221.5,12165000,302888221.5,11.02,19.83,3200,79420,17100,425430,118094856
7,06/04/2023,19072990,0,19072990,488570586,0,488570586,12.51,22.83,117245,2898727.5,3330,86819,118070556
8,05/04/2023,12078924,330000,12408924,293507412.5,8085000,301592412.5,10.19,18.59,2000,48430,3300,80820,118076156
9,04/04/2023,8841956,50000,8891956,210929790.4,1080000,212009790.4,9.34,15.91,17000,406420,1400,33400,118076156
10,03/04/2023,14105497,0,14105497,333343430,0,333343430,13.7,20.94,6205,145660.5,26300,619520,118091161
11,31/03/2023,7441610,0,7441610,163118237.8,0,163118237.8,8.91,13.64,30200,667320,11400,252980,118092461
12,30/03/2023,7607650,0,7607650,167680981.1,0,167680981.1,10.52,16.26,2300,50480,21400,472620,118092461
13,29/03/2023,4680395,0,4680395,100456751.5,0,100456751.5,8.05,12.54,1700,36730,0,0,118092761
14,28/03/2023,7471593,0,7471593,163201679.9,0,163201679.9,9.55,14.62,4700,102500,1000,21900,118092961
15,27/03/2023,5647444,30000,5677444,123612642.7,651000,124263642.7,8.58,13.65,200,4380,5100,111720,118091161
16,24/03/2023,8111688,0,8111688,178737011,0,178737011,12.06,18.4,0,0,1000,22150,118093161
17,23/03/2023,6482349,0,6482349,138748421.7,0,138748421.7,12.43,20.57,2000,42600,0,0,118143161
18,22/03/2023,11769277,0,11769277,254682542.6,0,254682542.6,23.44,27.4,50000,1098700,1800,39290,118142661
19,21/03/2023,3554391,0,3554391,73749815.2,0,73749815.2,7.74,9.25,0,0,0,0,118326161
20,20/03/2023,5025656,0,5025656,104026125,0,104026125,8.7,11.98,185600,3839000,0,0,118326161
21,17/03/2023,4742761,0,4742761,98516692.2,0,98516692.2,9.54,12.84,0,0,500,10350,118326761
22,16/03/2023,4295589,0,4295589,88899953.5,0,88899953.5,8.15,10.93,600,12420,2100,43270,118326761
23,15/03/2023,7701007,0,7701007,160805384.2,0,160805384.2,9.34,13.91,2600,54870,0,0,118330461
