STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,220,0,220,938,0,938,0,0,0,0,0,0,2957470
2,13/04/2023,3200,0,3200,13740,0,13740,0,0,0,0,0,0,2957470
3,12/04/2023,1000,0,1000,4400,0,4400,0,0,0,0,0,0,2957470
4,11/04/2023,3100,0,3100,13330,0,13330,0,0,0,0,0,0,2957470
5,10/04/2023,2634,0,2634,11396.4,0,11396.4,0,0,0,0,0,0,2957470
6,07/04/2023,18900,0,18900,75080,0,75080,0.02,0,0,0,0,0,2957470
7,06/04/2023,700,0,700,3010,0,3010,0,0,0,0,0,0,2957470
8,05/04/2023,1700,0,1700,6880,0,6880,0,0,0,0,0,0,2957470
9,04/04/2023,265,0,265,1060,0,1060,0,0,0,0,0,0,2957470
10,03/04/2023,6600,0,6600,28920,0,28920,0.01,0,0,0,0,0,2957470
11,31/03/2023,4800,0,4800,20750,0,20750,0.01,0,0,0,0,0,2957470
12,30/03/2023,6504,0,6504,28888,0,28888,0.01,0,0,0,0,0,2957470
13,29/03/2023,100,0,100,450,0,450,0,0,0,0,0,0,2957470
14,28/03/2023,810,0,810,3444,0,3444,0,0,0,0,0,0,2957470
15,27/03/2023,7600,0,7600,32990,0,32990,0.01,0,0,0,0,0,2957470
16,24/03/2023,2800,0,2800,11710,0,11710,0,0,0,0,0,0,2957470
17,23/03/2023,6345,0,6345,26090,0,26090,0.01,0,0,0,0,0,2957470
18,22/03/2023,4400,0,4400,18730,0,18730,0.01,0,0,0,0,0,2957470
19,21/03/2023,8712,0,8712,35312.8,0,35312.8,0.02,0,0,0,0,0,2957470
20,20/03/2023,8260,0,8260,32157,0,32157,0.01,0,0,0,0,0,2957470
21,17/03/2023,15900,0,15900,61930,0,61930,0.03,0.01,0,0,0,0,2957470
22,16/03/2023,18812,0,18812,66043.2,0,66043.2,0.04,0.01,0,0,0,0,2957470
23,15/03/2023,34400,0,34400,120820,0,120820,0.04,0.01,0,0,0,0,2957470
24,14/03/2023,4200,0,4200,14030,0,14030,0.01,0,0,0,0,0,2957470
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2957470
26,10/03/2023,2566,0,2566,8448,0,8448,0,0,0,0,0,0,2957470
27,09/03/2023,3400,0,3400,11230,0,11230,0.01,0,0,0,0,0,2957470
28,08/03/2023,800,0,800,2640,0,2640,0,0,0,0,0,0,2957470
29,07/03/2023,100,0,100,340,0,340,0,0,0,0,0,0,2957470
30,06/03/2023,1000,0,1000,3400,0,3400,0,0,0,0,0,0,2957470
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2957470
32,02/03/2023,3200,0,3200,10820,0,10820,0.01,0,0,0,0,0,2957470
33,01/03/2023,500,0,500,1650,0,1650,0,0,0,0,0,0,2957470
34,28/02/2023,6900,0,6900,22790,0,22790,0.01,0,0,0,0,0,2957470
35,27/02/2023,600,0,600,1980,0,1980,0,0,0,0,0,0,2957470
36,24/02/2023,1000,0,1000,3300,0,3300,0,0,0,0,0,0,2957470
37,23/02/2023,3300,0,3300,10900,0,10900,0,0,0,0,0,0,2957470
38,22/02/2023,13600,0,13600,44880,0,44880,0.01,0,0,0,0,0,2957470
39,21/02/2023,10400,0,10400,34820,0,34820,0.01,0,0,0,0,0,2957470
40,20/02/2023,8500,0,8500,28050,0,28050,0.01,0,0,0,0,0,2957470
41,17/02/2023,6900,0,6900,23410,0,23410,0.01,0,0,0,0,0,2957470
42,16/02/2023,30202,0,30202,99666,0,99666,0.04,0.01,0,0,0,0,2957470
43,15/02/2023,43200,0,43200,129660,0,129660,0.07,0.01,0,0,0,0,2957470
44,14/02/2023,760,0,760,2394,0,2394,0,0,0,0,0,0,2957470
45,13/02/2023,2261,0,2261,7283.8,0,7283.8,0,0,0,0,0,0,2957470
46,10/02/2023,1400,0,1400,4520,0,4520,0,0,0,0,0,0,2957470
47,09/02/2023,100,0,100,340,0,340,0,0,0,0,0,0,2957470
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2957470
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2957470
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2957470
51,03/02/2023,300,0,300,1050,0,1050,0,0,0,0,0,0,2957470
52,02/02/2023,370,0,370,1244,0,1244,0,0,0,0,0,0,2957470
53,01/02/2023,4500,0,4500,14830,0,14830,0,0,0,0,0,0,2957470
54,31/01/2023,800,0,800,2580,0,2580,0,0,0,0,0,0,2957470
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2957470
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2957470
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2957470
58,18/01/2023,700,0,700,2300,0,2300,0,0,0,0,0,0,2957470
59,17/01/2023,4200,0,4200,13670,0,13670,0.01,0,0,0,0,0,2957470
60,16/01/2023,700,0,700,2310,0,2310,0,0,0,0,0,0,2957470
