STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,9802,0,9802,112163,0,112163,0.01,0.01,0,0,0,0,5704798
2,13/04/2023,9111,0,9111,104766.5,0,104766.5,0.01,0.01,0,0,0,0,5682798
3,12/04/2023,48998,0,48998,559802.1,0,559802.1,0.05,0.04,0,0,5000,57160,5682798
4,11/04/2023,11600,0,11600,133800,0,133800,0.01,0.01,0,0,4000,46100,5682898
5,10/04/2023,34548,0,34548,399515.4,0,399515.4,0.02,0.02,100,1190,22000,253600,5683498
6,07/04/2023,10200,0,10200,119630,0,119630,0.01,0.01,600,7080,0,0,5683498
7,06/04/2023,12803,0,12803,150655.1,0,150655.1,0.01,0.01,0,0,0,0,5683498
8,05/04/2023,7840,0,7840,91868,0,91868,0.01,0.01,0,0,0,0,5683498
9,04/04/2023,7805,0,7805,92098.5,0,92098.5,0.01,0.01,0,0,0,0,5683498
10,03/04/2023,15653,0,15653,183509.5,0,183509.5,0.02,0.01,0,0,0,0,5673498
11,31/03/2023,5605,0,5605,65147.3,0,65147.3,0.01,0.01,0,0,0,0,5673498
12,30/03/2023,11000,0,11000,128200,0,128200,0.02,0.01,0,0,10000,116500,5673498
13,29/03/2023,16400,0,16400,190590,0,190590,0.03,0.02,0,0,0,0,5673498
14,28/03/2023,100,0,100,1180,0,1180,0,0,0,0,0,0,5673498
15,27/03/2023,3866,0,3866,45410.2,0,45410.2,0.01,0,0,0,0,0,5673498
16,24/03/2023,37415,0,37415,438387,0,438387,0.06,0.05,0,0,0,0,5673498
17,23/03/2023,26220,0,26220,306887,0,306887,0.05,0.05,0,0,0,0,5673498
18,22/03/2023,27200,0,27200,322760,0,322760,0.05,0.03,0,0,0,0,5673498
19,21/03/2023,12269,0,12269,146170.3,0,146170.3,0.03,0.02,0,0,0,0,5673498
20,20/03/2023,15501,0,15501,185982.2,0,185982.2,0.03,0.02,0,0,0,0,5673498
21,17/03/2023,100,0,100,1220,0,1220,0,0,0,0,0,0,5673498
22,16/03/2023,30864,0,30864,372618.9,0,372618.9,0.06,0.05,0,0,0,0,5673498
23,15/03/2023,39800,0,39800,476240,0,476240,0.05,0.04,0,0,0,0,5673498
24,14/03/2023,14540,0,14540,174335.1,0,174335.1,0.02,0.02,0,0,0,0,5673498
25,13/03/2023,57332,0,57332,704057.8,0,704057.8,0.1,0.09,48000,590400,0,0,5721498
26,10/03/2023,12400,0,12400,153590,0,153590,0.02,0.02,0,0,0,0,5721498
27,09/03/2023,53540,0,53540,665860,0,665860,0.09,0.08,0,0,0,0,5721498
28,08/03/2023,1410,0,1410,16910,0,16910,0,0,0,0,0,0,5721498
29,07/03/2023,11006,0,11006,133983.2,0,133983.2,0.02,0.02,0,0,0,0,5721498
30,06/03/2023,10150,0,10150,123955,0,123955,0.02,0.02,0,0,0,0,5721498
31,03/03/2023,130,0,130,1560,0,1560,0,0,0,0,0,0,5721498
32,02/03/2023,1000,0,1000,12200,0,12200,0,0,0,0,0,0,5721498
33,01/03/2023,3200,0,3200,38500,0,38500,0.01,0,0,0,0,0,5721498
34,28/02/2023,1225,0,1225,14625,0,14625,0,0,0,0,0,0,5721498
35,27/02/2023,2800,0,2800,34670,0,34670,0,0,0,0,0,0,5721498
36,24/02/2023,1900,0,1900,23290,0,23290,0,0,0,0,0,0,5721498
37,23/02/2023,4601,0,4601,54502.6,0,54502.6,0.01,0,0,0,0,0,5721498
38,22/02/2023,2810,0,2810,34402,0,34402,0,0,0,0,0,0,5721498
39,21/02/2023,6100,0,6100,73760,0,73760,0.01,0.01,0,0,0,0,5721498
40,20/02/2023,2600,0,2600,30800,0,30800,0,0,0,0,0,0,5721498
41,17/02/2023,3700,0,3700,41720,0,41720,0.01,0,0,0,0,0,5721498
42,16/02/2023,100,0,100,1190,0,1190,0,0,0,0,0,0,5721498
43,15/02/2023,247,0,247,2881.1,0,2881.1,0,0,0,0,0,0,5721498
44,14/02/2023,800,0,800,9280,0,9280,0,0,0,0,0,0,5721498
45,13/02/2023,16900,0,16900,196090,0,196090,0.02,0.02,0,0,0,0,5721498
46,10/02/2023,9100,0,9100,110410,0,110410,0.02,0.01,0,0,0,0,5721498
47,09/02/2023,20001,0,20001,241181.6,0,241181.6,0.04,0.03,0,0,0,0,5721498
48,08/02/2023,600,0,600,7060,0,7060,0,0,0,0,0,0,5721498
49,07/02/2023,18900,0,18900,226860,0,226860,0.03,0.02,0,0,0,0,5721498
50,06/02/2023,6300,0,6300,76880,0,76880,0.01,0.01,0,0,0,0,5721498
51,03/02/2023,10100,0,10100,122700,0,122700,0.02,0.01,0,0,0,0,5721498
52,02/02/2023,58300,0,58300,722330,0,722330,0.07,0.06,0,0,0,0,5721498
53,01/02/2023,45291,0,45291,569885.4,0,569885.4,0.03,0.03,0,0,0,0,5721498
54,31/01/2023,69784,0,69784,820941.2,0,820941.2,0.08,0.06,0,0,0,0,5721498
55,30/01/2023,11101,0,11101,119731,0,119731,0.01,0.01,0,0,0,0,5726598
56,27/01/2023,8900,0,8900,96200,0,96200,0.01,0.01,5100,55540,0,0,5726598
57,19/01/2023,900,0,900,9570,0,9570,0,0,0,0,0,0,5726598
58,18/01/2023,4500,0,4500,47200,0,47200,0.01,0,0,0,0,0,5726598
59,17/01/2023,7600,0,7600,78300,0,78300,0.01,0.01,0,0,0,0,5726598
60,16/01/2023,6500,0,6500,67150,0,67150,0.01,0.01,0,0,0,0,5726598
