STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
3,12/04/2023,0,300000,300000,0,29301300,29301300,28.08,24.65,0,0,300000,29301300,2600000
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2520000
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2520000
8,05/04/2023,0,80000,80000,0,8105680,8105680,6.49,6.58,0,0,80000,8105680,2520000
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2520000
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,2520000
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2520000
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2520000
13,29/03/2023,0,80000,80000,0,8092400,8092400,5.38,5.48,80000,8092400,0,0,2600000
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2598900
45,13/02/2023,1100,0,1100,104942.2,0,104942.2,0.05,0.04,1100,104942.2,1100,104942.2,2600000
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2600000
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,2900000
53,01/02/2023,0,300000,300000,0,28811700,28811700,21.9,20.87,300000,28811700,0,0,2900000
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2900000
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2900000
56,27/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2900000
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2900000
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2800000
59,17/01/2023,0,260000,260000,0,24126960,24126960,16.04,14.84,160000,14847360,260000,24126960,2800000
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,2800000
