STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
6,07/04/2023,300,0,300,9000,0,9000,0,0,0,0,0,0,1178400
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
38,22/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
43,15/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1178400
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
54,31/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
55,30/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
56,27/01/2023,1,0,1,30,0,30,0,0,0,0,0,0,1938400
57,19/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1938400
