STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
2,13/04/2023,200,0,200,2240,0,2240,0,0,0,0,0,0,1975270
3,12/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
4,11/04/2023,9200,0,9200,103040,0,103040,0.01,0.01,0,0,0,0,1975270
5,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
8,05/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
13,29/03/2023,100,0,100,1230,0,1230,0,0,0,0,0,0,1975270
14,28/03/2023,100,0,100,1120,0,1120,0,0,0,0,0,0,1975270
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
16,24/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
18,22/03/2023,100,0,100,1020,0,1020,0,0,0,0,0,0,1975270
19,21/03/2023,300,0,300,3430,0,3430,0,0,0,0,0,0,1975270
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
21,17/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1975270
22,16/03/2023,400,0,400,4940,0,4940,0,0,0,0,0,0,1975270
23,15/03/2023,3100,0,3100,40920,0,40920,0,0,3000,39600,0,0,1978270
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
26,10/03/2023,100,0,100,1460,0,1460,0,0,0,0,0,0,1978270
27,09/03/2023,400,0,400,5400,0,5400,0,0,0,0,0,0,1978270
28,08/03/2023,1600,0,1600,20430,0,20430,0,0,0,0,0,0,1978270
29,07/03/2023,100,0,100,1270,0,1270,0,0,0,0,0,0,1978270
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
31,03/03/2023,1100,0,1100,15630,0,15630,0,0,0,0,0,0,1978270
32,02/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
35,27/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
36,24/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
38,22/02/2023,100,0,100,1410,0,1410,0,0,0,0,0,0,1978270
39,21/02/2023,8200,0,8200,108270,0,108270,0.01,0.01,0,0,0,0,1978270
40,20/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
41,17/02/2023,500,0,500,7300,0,7300,0,0,0,0,0,0,1978270
42,16/02/2023,300,0,300,4210,0,4210,0,0,0,0,0,0,1978270
43,15/02/2023,12500,0,12500,172550,0,172550,0.02,0.02,0,0,0,0,1978270
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
45,13/02/2023,1000,0,1000,14900,0,14900,0,0,0,0,0,0,1978270
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
47,09/02/2023,0,212000,212000,0,3074000,3074000,0.46,0.41,0,0,0,0,1978270
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
49,07/02/2023,213,0,213,3215.5,0,3215.5,0,0,0,0,0,0,1978270
50,06/02/2023,3000,0,3000,45000,0,45000,0.01,0.01,0,0,0,0,1978270
51,03/02/2023,200,0,200,3170,0,3170,0,0,0,0,0,0,1978270
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
53,01/02/2023,7500,0,7500,114000,0,114000,0.01,0.01,0,0,0,0,1978270
54,31/01/2023,400,0,400,6180,0,6180,0,0,0,0,0,0,1978270
55,30/01/2023,3100,0,3100,48560,0,48560,0,0,0,0,0,0,1978270
56,27/01/2023,700,0,700,11910,0,11910,0,0,0,0,0,0,1978270
57,19/01/2023,300,0,300,5250,0,5250,0,0,0,0,0,0,1978270
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
60,16/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,1978270
