STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,6400,0,6400,188060,0,188060,0.01,0.01,0,0,0,0,5557040
2,13/04/2023,300,0,300,8670,0,8670,0,0,0,0,0,0,5557040
3,12/04/2023,1800,0,1800,52370,0,52370,0,0,0,0,0,0,5557040
4,11/04/2023,3700,0,3700,105190,0,105190,0,0.01,0,0,0,0,5557240
5,10/04/2023,4800,0,4800,137580,0,137580,0,0.01,200,5740,0,0,5557240
6,07/04/2023,1300,0,1300,37060,0,37060,0,0,0,0,0,0,5557240
7,06/04/2023,200,0,200,5680,0,5680,0,0,0,0,0,0,5557240
8,05/04/2023,3900,0,3900,110420,0,110420,0,0.01,0,0,0,0,5557240
9,04/04/2023,3100,0,3100,87770,0,87770,0,0.01,0,0,0,0,5557240
10,03/04/2023,1200,0,1200,33940,0,33940,0,0,0,0,0,0,5557240
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,5557240
12,30/03/2023,5800,0,5800,164680,0,164680,0.01,0.02,0,0,0,0,5557240
13,29/03/2023,6402,0,6402,181594,0,181594,0.01,0.02,0,0,0,0,5557240
14,28/03/2023,2108,0,2108,60432,0,60432,0,0.01,0,0,0,0,5557740
15,27/03/2023,800,0,800,23040,0,23040,0,0,500,14400,0,0,5557740
16,24/03/2023,6300,0,6300,179040,0,179040,0.01,0.02,0,0,0,0,5557740
17,23/03/2023,3800,0,3800,107110,0,107110,0.01,0.02,0,0,0,0,5557740
18,22/03/2023,1300,0,1300,36550,0,36550,0,0,0,0,0,0,5557740
19,21/03/2023,700,0,700,19660,0,19660,0,0,0,0,0,0,5557740
20,20/03/2023,9100,0,9100,256940,0,256940,0.02,0.03,0,0,0,0,5557740
21,17/03/2023,700,0,700,19740,0,19740,0,0,0,0,0,0,5557740
22,16/03/2023,1200,0,1200,33670,0,33670,0,0,0,0,0,0,5557740
23,15/03/2023,13000,0,13000,365360,0,365360,0.02,0.03,0,0,0,0,5557840
24,14/03/2023,1000,0,1000,27830,0,27830,0,0,100,2780,0,0,5557840
25,13/03/2023,300,0,300,8390,0,8390,0,0,0,0,0,0,5557840
26,10/03/2023,100,0,100,2830,0,2830,0,0,0,0,0,0,5557840
27,09/03/2023,1200,0,1200,33600,0,33600,0,0,0,0,0,0,5557840
28,08/03/2023,100,0,100,2840,0,2840,0,0,0,0,0,0,5557840
29,07/03/2023,2000,0,2000,55950,0,55950,0,0.01,0,0,0,0,5557840
30,06/03/2023,3500,0,3500,98150,0,98150,0.01,0.01,0,0,0,0,5557940
31,03/03/2023,1500,0,1500,41920,0,41920,0,0,100,2790,0,0,5557940
32,02/03/2023,600,0,600,16790,0,16790,0,0,0,0,0,0,5557940
33,01/03/2023,1900,0,1900,53160,0,53160,0,0.01,0,0,0,0,5557940
34,28/02/2023,400,0,400,11300,0,11300,0,0,0,0,0,0,5557940
35,27/02/2023,11700,0,11700,328280,0,328280,0.02,0.03,0,0,0,0,5557940
36,24/02/2023,1000,0,1000,28100,0,28100,0,0,0,0,0,0,5557940
37,23/02/2023,2500,0,2500,70560,0,70560,0,0.01,0,0,0,0,5557940
38,22/02/2023,10500,0,10500,294860,0,294860,0.01,0.02,0,0,0,0,5557940
39,21/02/2023,7500,0,7500,209520,0,209520,0.01,0.01,0,0,0,0,5558640
40,20/02/2023,11600,0,11600,329190,0,329190,0.01,0.02,700,19970,0,0,5557440
41,17/02/2023,200,0,200,5680,0,5680,0,0,0,0,0,0,5557440
42,16/02/2023,2300,0,2300,65080,0,65080,0,0.01,0,0,0,0,5557440
43,15/02/2023,3900,0,3900,110770,0,110770,0.01,0.01,0,0,1200,33840,5557440
44,14/02/2023,600,0,600,17140,0,17140,0,0,0,0,0,0,5557440
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5557440
46,10/02/2023,1500,0,1500,42970,0,42970,0,0.01,0,0,0,0,5557540
47,09/02/2023,200,0,200,5810,0,5810,0,0,100,2900,0,0,5557540
48,08/02/2023,800,0,800,23200,0,23200,0,0,0,0,0,0,5557540
49,07/02/2023,2300,0,2300,66540,0,66540,0,0.01,0,0,0,0,5557540
50,06/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5557540
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,5557540
52,02/02/2023,100,0,100,2940,0,2940,0,0,0,0,0,0,5557540
53,01/02/2023,206,0,206,6056.4,0,6056.4,0,0,0,0,0,0,5557540
54,31/01/2023,600,0,600,17490,0,17490,0,0,0,0,0,0,5557540
55,30/01/2023,4100,0,4100,121350,0,121350,0,0.01,0,0,0,0,5559940
56,27/01/2023,5300,0,5300,155920,0,155920,0.01,0.02,2400,70900,0,0,5559940
57,19/01/2023,500,0,500,14500,0,14500,0,0,0,0,0,0,5559940
58,18/01/2023,800,0,800,22930,0,22930,0,0,0,0,0,0,5559940
59,17/01/2023,4000,0,4000,114130,0,114130,0.01,0.01,0,0,0,0,5559940
60,16/01/2023,3200,0,3200,90810,0,90810,0.01,0.01,0,0,0,0,5559940
