STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,5999,0,5999,28805.1,0,28805.1,0.01,0,0,0,0,0,0
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12/04/2023,331,0,331,1754.3,0,1754.3,0,0,0,0,0,0,0
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10/04/2023,300,0,300,1740,0,1740,0,0,0,0,0,0,0
6,07/04/2023,510,0,510,3270,0,3270,0,0,0,0,0,0,0
7,06/04/2023,1119,0,1119,6384.5,0,6384.5,0,0,0,0,0,0,0
8,05/04/2023,910,0,910,5015,0,5015,0,0,0,0,0,0,0
9,04/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
10,03/04/2023,411,0,411,2677.2,0,2677.2,0,0,0,0,0,0,0
11,31/03/2023,600,0,600,4020,0,4020,0,0,0,0,0,0,0
12,30/03/2023,1019,0,1019,6235.9,0,6235.9,0,0,0,0,0,0,0
13,29/03/2023,1200,0,1200,8040,0,8040,0,0,0,0,0,0,0
14,28/03/2023,800,0,800,4880,0,4880,0,0,0,0,0,0,0
15,27/03/2023,1200,0,1200,6610,0,6610,0,0,0,0,0,0,0
16,24/03/2023,200,0,200,1100,0,1100,0,0,0,0,0,0,0
17,23/03/2023,600,0,600,3270,0,3270,0,0,0,0,0,0,0
18,22/03/2023,100,0,100,530,0,530,0,0,0,0,0,0,0
19,21/03/2023,1500,0,1500,7650,0,7650,0,0,0,0,0,0,0
20,20/03/2023,300,0,300,1530,0,1530,0,0,0,0,0,0,0
21,17/03/2023,700,0,700,3570,0,3570,0,0,0,0,0,0,0
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
28,08/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
32,02/03/2023,70,0,70,385,0,385,0,0,0,0,0,0,0
33,01/03/2023,1,0,1,5.6,0,5.6,0,0,0,0,0,0,0
34,28/02/2023,100,0,100,560,0,560,0,0,0,0,0,0,0
35,27/02/2023,310,0,310,1643,0,1643,0,0,0,0,0,0,0
36,24/02/2023,199,0,199,985,0,985,0,0,0,0,0,0,0
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
38,22/02/2023,500,0,500,2700,0,2700,0,0,0,0,0,0,0
39,21/02/2023,100,0,100,540,0,540,0,0,0,0,0,0,0
40,20/02/2023,610,0,610,3231,0,3231,0,0,0,0,0,0,0
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
42,16/02/2023,10,0,10,55.9,0,55.9,0,0,0,0,0,0,0
43,15/02/2023,400,0,400,2200,0,2200,0,0,0,0,0,0,0
44,14/02/2023,100,0,100,540,0,540,0,0,0,0,0,0,0
45,13/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
46,10/02/2023,35,0,35,187,0,187,0,0,0,0,0,0,0
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
48,08/02/2023,200,0,200,1080,0,1080,0,0,0,0,0,0,0
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
50,06/02/2023,300,0,300,1590,0,1590,0,0,0,0,0,0,0
51,03/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
52,02/02/2023,400,0,400,2080,0,2080,0,0,0,0,0,0,0
53,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
54,31/01/2023,1100,0,1100,5670,0,5670,0,0,0,0,0,0,0
55,30/01/2023,300,0,300,1610,0,1610,0,0,0,0,0,0,0
56,27/01/2023,33,0,33,161.7,0,161.7,0,0,0,0,0,0,0
57,19/01/2023,200,0,200,1060,0,1060,0,0,0,0,0,0,0
58,18/01/2023,4800,0,4800,25920,0,25920,0.01,0,0,0,0,0,0
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
60,16/01/2023,6900,0,6900,37250,0,37250,0.02,0.01,0,0,0,0,0
